121,13:00:09,06/18/03,NNE,01MPH,143K,460F,081F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:00:09,06/18/03,ENE,00MPH,140K,460F,081F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:00:14,06/18/03,NNE,00MPH,141K,460F,081F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:00:20,06/18/03,N,01MPH,139K,460F,081F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:00:26,06/18/03,WSW,02MPH,139K,460F,081F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:00:37,06/18/03,SSE,02MPH,141K,460F,081F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:00:43,06/18/03,SSE,03MPH,139K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:00:49,06/18/03,WSW,03MPH,139K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:00:54,06/18/03,WNW,02MPH,138K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:01:00,06/18/03,W,03MPH,139K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:01:06,06/18/03,NNW,03MPH,137K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:01:11,06/18/03,W,03MPH,135K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:01:16,06/18/03,WNW,03MPH,106K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:01:20,06/18/03,WNW,03MPH,125K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:01:25,06/18/03,WNW,03MPH,141K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:01:30,06/18/03,WNW,04MPH,137K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:01:35,06/18/03,W,03MPH,095K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:01:41,06/18/03,SW,05MPH,135K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:01:55,06/18/03,WSW,05MPH,139K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:02:00,06/18/03,WNW,06MPH,132K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:02:05,06/18/03,WNW,06MPH,137K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
121,13:02:11,06/18/03,WNW,05MPH,140K,460F,082F,062%,29.95F,00.00"D,01.24"M,00.00"R,
