1,11
2,11
3,11
4,15
5,12
6,13
7,13
8,8
9,13
10,9
11,8
12,6
13,6
14,13
15,13
16,10
17,11
18,11
19,10
20,13
21,9
22,11
23,13
24,11
25,11
26,12
27,13
28,10
29,9
30,11
31,9
32,13
33,9
34,13
35,15
36,10
37,10
38,9
39,12
40,16
41,7
42,14
43,10
44,2
45,5
46,6
47,7
48,10
49,10
50,6
51,3
52,9
53,2
54,7
55,11
56,8
57,6
58,1
59,5
60,5
61,7
62,6
63,6
64,6
65,5
66,5
67,5
68,7
69,7
70,5
71,6
72,11
73,10
74,6
75,3
76,3
77,4
78,6
79,4
80,3
81,3
82,5
83,5
84,8
85,7
86,4
87,2
88,3
89,5
90,3
91,3
92,3
93,3
94,2
95,3
96,3
97,2
98,2
99,1
100,0
101,1
102,0
103,0
104,2
105,0
106,1
107,3
108,1
109,0
110,4
111,1
112,1
113,2
114,0
115,1
116,0
117,0
118,1
119,3
120,3
121,0
122,1
123,2
124,0
125,0
126,2
127,0
128,1
129,0
130,1
131,2
132,2
133,1
134,0
135,1
136,0
137,0
138,1
139,1
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,1
165,0
166,0
167,0
168,0
169,1
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,2
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,1
259,1
260,0
261,1
262,3
263,0
264,0
265,0
266,0
267,0
268,1
269,1
270,0
271,1
272,2
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,1
283,0
284,0
285,0
286,1
287,0
288,2
289,0
290,0
291,0
292,2
293,2
294,2
295,1
296,0
297,2
298,1
299,3
300,2
301,1
302,3
303,7
304,2
305,3
306,4
307,3
308,4
309,3
310,3
311,4
312,3
313,2
314,3
315,2
316,6
317,7
318,7
319,4
320,10
321,9
322,8
323,5
324,7
325,6
326,5
327,5
328,6
329,4
330,6
331,7
332,5
333,5
334,8
335,8
336,12
337,8
338,7
339,3
340,7
341,9
342,13
343,14
344,8
345,11
346,13
347,13
348,12
349,14
350,12
351,13
352,14
353,13
354,13
355,12
356,12
357,10
358,6
359,7
360,11
361,6
362,5
363,8
364,8
365,9
366,4
