1.0,2,11
2.0,6,12
1.0,3,12
1.0,1,12
3.0,6,1
2.0,12,1
5.0,7,2
4.0,5,2
12.0,13,3
1.0,1,12
3.0,7,1
2.0,5,2
1.0,2,3
2.0,2,3
8.0,24,12
3.0,12,1
1.0,1,3
3.0,1,10
1.0,1,1
1.0,3,1
7.0,6,1
1.0,1,2
1.0,1,2
5.0,5,11
1.0,1,11
7.0,27,1
9.0,19,2
9.0,30,1
3.0,6,3
3.0,2,3
3.0,6,12
1.0,1,12
1.0,11,12
16.0,70,1
3.0,4,3
1.0,2,11
4.0,8,11
3.0,1,12
3.0,7,1
12.0,19,2
2.0,4,3
5.0,10,11
1.0,4,11
7.0,17,12
4.0,12,1
8.0,10,1
5.0,7,2
12.0,3,4
7.0,20,1
5.0,6,2
2.0,2,11
4.0,6,12
4.0,5,12
5.0,15,1
6.0,12,2
6.0,11,3
1.0,1,3
4.0,3,4
2.0,3,11
9.0,6,2
2.0,5,3
3.0,7,12
3.0,1,3
3.0,4,11
5.0,7,12
8.0,35,2
1.0,1,11
22.0,33,2
2.0,2,3
2.0,2,4
3.0,4,1
1.0,4,1
2.0,2,1
4.0,14,2
3.0,2,2
4.0,5,3
2.0,2,3
1.0,1,10
1.0,3,12
2.0,5,2
5.0,3,2
1.0,2,11
3.0,5,12
2.0,6,12
2.0,1,12
13.0,7,1
13.0,16,2
6.0,8,3
4.0,6,4
2.0,4,12
2.0,9,12
1.0,2,1
11.0,10,2
1.0,2,3
13.0,4,3
1.0,1,4
1.0,1,4
2.0,2,4
1.0,1,11
9.0,40,1
5.0,3,3
4.0,4,3
3.0,2,11
5.0,2,12
1.0,1,12
2.0,3,1
3.0,14,1
1.0,4,1
3.0,12,2
5.0,1,3
1.0,6,11
14.0,29,12
6.0,23,2
1.0,1,3
1.0,1,11
6.0,5,11
3.0,10,12
1.0,2,1
2.0,1,3
5.0,3,3
3.0,9,12
4.0,32,12
7.0,7,2
1.0,2,11
1.0,6,12
1.0,5,1
2.0,7,2
3.0,15,2
2.0,5,3
3.0,3,12
3.0,4,1
1.0,1,1
1.0,2,2
3.0,7,2
4.0,3,11
9.0,8,12
12.0,27,1
3.0,5,11
8.0,13,11
1.0,3,1
4.0,2,2
1.0,1,3
1.0,1,4
6.0,18,11
1.0,6,12
9.0,29,1
7.0,8,2
1.0,2,3
1.0,1,11
2.0,5,12
7.0,30,1
13.0,7,2
11.0,48,12
1.0,4,2
6.0,4,3
1.0,1,10
2.0,4,11
6.0,8,12
1.0,7,1
16.0,14,1
6.0,4,2
2.0,1,3
2.0,1,11
5.0,7,12
3.0,7,12
1.0,3,1
3.0,4,1
4.0,5,1
10.0,14,2
2.0,1,2
2.0,1,4
4.0,3,10
1.0,3,11
4.0,7,12
1.0,2,12
1.0,1,12
6.0,10,1
1.0,5,2
3.0,5,2
2.0,2,2
12.0,14,3
2.0,1,3
1.0,1,11
15.0,30,1
1.0,1,2
2.0,3,2
2.0,3,2
10.0,6,3
5.0,6,12
1.0,2,1
4.0,18,1
1.0,1,2
5.0,5,2
3.0,5,12
16.0,70,1
5.0,8,2
3.0,4,3
2.0,1,10
1.0,2,1
1.0,3,1
1.0,1,1
2.0,8,2
8.0,8,2
3.0,6,3
2.0,1,4
4.0,2,4
9.0,19,12
2.0,2,1
21.0,20,2
10.0,4,3
1.0,1,12
1.0,1,12
1.0,1,12
1.0,1,12
1.0,1,12
16.0,24,1
4.0,2,2
2.0,1,3
2.0,2,11
10.0,26,12
2.0,3,1
1.0,2,2
1.0,3,2
1.0,4,2
7.0,2,3
2.0,2,3
1.0,1,11
1.0,2,1
7.0,31,1
11.0,11,3
2.0,1,4
1.0,3,12
3.0,34,12
11.0,49,1
3.0,2,3
1.0,1,11
2.0,13,11
9.0,6,12
12.0,26,1
1.0,2,2
5.0,3,4
