1893,-67
1894,89
1895,20
1896,-21
1897,15
1898,25
1899,25
1900,79
1901,81
1902,-37
1903,-25
1904,-60
1905,-13
1906,18
1907,-27
1908,44
1909,-7
1910,41
1911,115
1912,-16
1913,121
1914,29
1915,-59
1916,-2
1917,-95
1918,9
1919,49
1920,-6
1921,127
1922,27
1923,15
1924,-62
1925,49
1926,13
1927,17
1928,62
1929,-59
1930,97
1931,141
1932,-14
1933,87
1934,91
1935,-13
1936,41
1937,-25
1938,81
1939,71
1940,-70
1941,61
1942,-28
1943,-13
1944,-40
1945,-69
1946,47
1947,-35
1948,11
1949,25
1950,-65
1951,-105
1952,-7
1953,65
1954,49
1955,39
1956,62
1957,-43
1958,-31
1959,-37
1960,-66
1961,-71
1962,-55
1963,1
1964,54
1965,-23
1966,-17
1967,-15
1968,-6
1969,-83
1970,-3
1971,17
1972,-74
1973,33
1974,9
1975,-1
1976,42
1977,59
1978,-65
1979,-63
1980,48
1981,45
1982,-71
1983,-11
1984,-16
1985,-35
1986,11
1987,103
1988,107
1989,17
1990,31
1991,21
1992,-30
1993,-123
1994,-21
1995,-43
1996,-112
1997,-19
1998,23
1999,63
2000,26
2001,35
2002,51
2003,-14
2004,2
2005,67
2006,87
2007,25
2008,-80
2009,-4
