1893,-193
1894,0
1895,-90
1896,-26
1897,-4
1898,-17
1899,-13
1900,39
1901,-4
1902,-4
1903,-23
1904,-80
1905,3
1906,-7
1907,-61
1908,26
1909,-13
1910,-17
1911,33
1912,-59
1913,17
1914,-8
1915,-15
1916,-52
1917,-109
1918,19
1919,53
1920,-4
1921,117
1922,63
1923,37
1924,-58
1925,31
1926,55
1927,1
1928,54
1929,-47
1930,37
1931,133
1932,-5
1933,43
1934,71
1935,42
1936,22
1937,-22
1938,89
1939,41
1940,17
1941,87
1942,37
1943,-27
1944,68
1945,-32
1946,47
1947,53
1948,13
1949,44
1950,-61
1951,-59
1952,14
1953,39
1954,91
1955,17
1956,32
1957,33
1958,-7
1959,25
1960,-4
1961,25
1962,3
1963,83
1964,26
1965,7
1966,-54
1967,-23
1968,0
1969,-14
1970,3
1971,10
1972,-10
1973,79
1974,5
1975,9
1976,-46
1977,49
1978,-22
1979,-38
1980,18
1981,15
1982,15
1983,46
1984,22
1985,-36
1986,71
1987,107
1988,17
1989,-31
1990,81
1991,71
1992,2
1993,27
1994,37
1995,28
1996,-32
1997,57
1998,155
1999,101
2000,64
2001,95
2002,59
2003,35
2004,69
2005,103
2006,99
2007,99
2008,-2
2009,-7
