0,2000-01-02
1,2000-01-02
2,2000-01-02
3,2000-01-02
4,2000-01-03
5,2000-01-03
6,2000-01-08
7,2000-01-08
8,2000-01-08
9,2000-01-09
10,2000-01-14
11,2000-01-14
12,2000-01-16
13,2000-01-16
14,2000-01-16
15,2000-01-16
16,2000-01-17
17,2000-01-17
18,2000-01-17
19,2000-01-17
20,2000-01-17
21,2000-01-17
22,2000-01-17
23,2000-01-19
24,2000-01-21
25,2000-01-21
26,2000-01-21
27,2000-01-21
28,2000-01-21
29,2000-01-21
30,2000-01-21
31,2000-01-31
32,2000-02-14
33,2000-02-19
34,2000-02-19
35,2000-02-24
36,2000-02-24
37,2000-02-24
38,2000-03-18
39,2000-03-18
40,2000-03-18
41,2000-03-18
42,2000-03-18
43,2000-03-18
44,2000-03-18
45,2000-03-29
46,2000-03-29
47,2000-03-29
48,2000-03-29
49,2000-04-06
50,2000-04-06
51,2000-04-06
52,2000-04-07
53,2000-04-07
54,2000-04-07
55,2000-04-07
56,2000-04-07
57,2000-04-07
58,2000-04-07
59,2000-04-07
60,2000-04-16
61,2000-04-18
62,2000-04-18
63,2000-04-27
64,2000-04-27
65,2000-04-27
66,2000-04-27
67,2000-04-29
68,2000-04-29
69,2000-04-29
70,2000-04-30
71,2000-05-05
72,2000-05-05
73,2000-05-05
74,2000-05-25
75,2000-05-25
76,2000-05-25
77,2000-05-26
78,2000-06-02
79,2000-06-02
