10.156,  5.351,  4.091,  3.547,  2.141, 2.0, 0.0, 1.0, 1.0, 1.0
 9.853,  5.247,  4.024,  3.499,  2.098, 1.0, 3.0, 0.0, 0.0, 0.0
 2.644,  2.298,  2.082,  1.912,  1.032, 1.0, 1.0, 0.0, 2.0, 0.0
 1.318,  0.954,  0.801,  0.689,  0.255, 2.0, 4.0, 4.0, 0.0, 1.0
16.343,  8.854,  6.763,  5.821,  3.142, 4.0, 4.0, 2.0, 2.0, 2.0
 2.293,  1.995,  1.813,  1.674,  0.935, 0.0, 2.0, 0.0, 0.0, 1.0
 1.317,  1.149,  1.052,  0.978,  0.590, 0.0, 0.0, 0.0, 1.0, 0.0
10.034,  5.299,  4.059,  3.531,  2.123, 6.0, 0.0, 2.0, 0.0, 2.0
 9.938,  5.273,  4.040,  3.514,  2.109, 2.0, 0.0, 1.0, 0.0, 0.0
 8.543,  4.519,  3.467,  3.026,  1.866, 1.0, 0.0, 1.0, 0.0, 0.0
 1.234,  1.079,  0.989,  0.919,  0.551, 0.0, 0.0, 0.0, 0.0, 0.0
 2.062,  1.424,  1.238,  1.145,  0.826, 0.0, 0.0, 1.0, 0.0, 1.0
 0.424,  0.315,  0.276,  0.250,  0.137, 1.0, 0.0, 0.0, 0.0, 0.0
10.037,  5.300,  4.063,  3.565,  2.123, 2.0, 0.0, 2.0, 0.0, 4.0
10.000,  5.292,  4.049,  3.524,  2.109, 2.0, 1.0, 0.0, 0.0, 0.0
 1.343,  1.169,  1.067,  0.991,  0.603, 0.0, 1.0, 0.0, 0.0, 0.0
 0.432,  0.318,  0.278,  0.253,  0.140, 0.0, 0.0, 0.0, 0.0, 3.0
 1.295,  1.131,  1.033,  0.961,  0.583, 0.0, 0.0, 1.0, 0.0, 1.0
 9.878,  5.259,  4.027,  3.503,  2.102, 0.0, 0.0, 0.0, 0.0, 0.0
10.027,  5.300,  4.054,  3.524,  2.111, 5.0, 5.0, 0.0, 7.0, 3.0
 9.854,  5.268,  4.028,  3.502,  2.105, 1.0, 2.0, 0.0, 0.0, 0.0
 0.412,  0.306,  0.269,  0.243,  0.134, 1.0, 1.0, 1.0, 2.0, 0.0
 9.717,  5.212,  3.993,  3.476,  2.077, 0.0, 0.0, 1.0, 0.0, 3.0
 1.284,  1.122,  1.027,  0.954,  0.576, 0.0, 1.0, 0.0, 0.0, 0.0
 0.429,  0.317,  0.278,  0.253,  0.140, 0.0, 2.0, 1.0, 0.0, 0.0
 9.717,  5.212,  3.997,  3.479,  2.080, 3.0, 5.0, 0.0, 4.0, 3.0
 0.886,  0.648,  0.552,  0.484,  0.207, 0.0, 1.0, 0.0, 0.0, 0.0
14.361,  7.779,  5.950,  5.136,  2.846, 0.0, 1.0, 1.0, 0.0, 0.0
 2.031,  1.766,  1.608,  1.485,  0.845, 3.0, 1.0, 1.0, 2.0, 1.0
 2.089,  1.494,  1.231,  1.031,  0.320, 0.0, 5.0, 4.0, 0.0, 1.0
 1.162,  0.844,  0.712,  0.617,  0.239, 1.0, 3.0, 1.0, 0.0, 0.0
 1.143,  0.834,  0.704,  0.609,  0.235, 0.0, 0.0, 1.0, 0.0, 0.0
10.516,  5.549,  4.239,  3.680,  2.199, 1.0, 1.0, 0.0, 0.0, 0.0
 4.495,  3.766,  3.290,  2.916,  1.429, 0.0, 2.0, 0.0, 0.0, 2.0
 2.065,  1.421,  1.237,  1.144,  0.821, 1.0, 0.0, 0.0, 2.0, 2.0
10.039,  5.301,  4.062,  3.529,  2.121, 0.0, 4.0, 0.0, 0.0, 0.0
 0.427,  0.317,  0.278,  0.251,  0.139, 0.0, 0.0, 3.0, 0.0, 0.0
 0.418,  0.312,  0.273,  0.248,  0.136, 0.0, 0.0, 3.0, 0.0, 0.0
 6.819,  3.557,  2.733,  2.394,  1.547, 0.0, 0.0, 0.0, 2.0, 0.0
10.411,  5.418,  4.130,  3.586,  2.209, 3.0, 0.0, 0.0, 0.0, 1.0
 0.325,  0.241,  0.213,  0.196,  0.119, 3.0, 0.0, 0.0, 0.0, 0.0
 0.426,  0.316,  0.277,  0.251,  0.138, 0.0, 0.0, 0.0, 0.0, 1.0
 1.118,  0.975,  0.893,  0.832,  0.514, 0.0, 3.0, 0.0, 0.0, 0.0
 0.418,  0.311,  0.272,  0.247,  0.136, 0.0, 0.0, 2.0, 0.0, 0.0
 0.428,  0.317,  0.277,  0.251,  0.139, 0.0, 2.0, 0.0, 1.0, 0.0
 0.427,  0.317,  0.277,  0.252,  0.140, 2.0, 3.0, 3.0, 1.0, 1.0
