306,3,1
307,4,1
308,5,2
309,4,1
310,3,1
311,8,4
312,8,2
313,10,3
314,8,3
315,13,4
316,12,7
317,11,8
318,16,8
319,11,8
320,18,9
321,12,4
322,11,6
323,12,6
324,11,8
325,18,11
326,21,12
327,26,13
328,18,7
329,16,11
330,20,14
331,27,19
332,30,17
333,35,20
334,29,24
335,35,27
336,39,27
337,41,27
338,40,23
339,36,27
340,36,24
341,41,32
342,46,41
343,58,38
344,52,40
345,51,43
346,57,44
347,57,46
348,54,41
349,53,39
350,53,42
351,53,45
352,55,42
353,56,45
354,58,46
355,63,41
356,48,37
357,49,41
358,60,45
359,61,43
360,57,49
361,63,53
362,63,49
363,62,41
364,58,45
365,54,45
1,62,48
2,61,53
3,68,52
4,68,58
5,68,52
6,60,53
7,72,57
8,64,51
9,63,51
10,65,50
11,67,54
12,68,54
13,63,51
14,62,52
15,68,52
16,65,55
17,72,65
18,79,53
19,61,50
20,68,52
21,64,51
22,63,47
23,62,49
24,61,50
25,71,63
26,76,65
27,75,60
28,72,58
29,73,63
30,73,57
31,67,55
32,64,54
33,68,62
34,71,56
35,69,54
36,65,52
37,66,58
38,69,57
39,66,55
40,66,53
41,65,47
42,61,51
43,58,42
44,53,46
45,56,43
46,66,42
47,51,41
48,52,40
49,50,40
50,48,34
51,47,38
52,48,34
53,47,29
54,37,27
55,43,28
56,39,28
57,39,21
58,37,20
59,35,22
60,37,21
61,33,21
62,30,20
63,29,20
64,33,22
65,44,26
66,37,24
67,34,22
68,30,21
69,33,19
70,22,17
71,24,19
72,27,22
73,29,18
74,25,14
75,17,7
76,19,9
77,14,9
78,12,9
79,16,7
80,10,5
81,7,4
82,9,5
83,13,7
84,11,8
85,12,6
86,12,4
87,7,1
88,5,4
89,6,1
90,4,3
