stationID,stationName,Latitude,Longitude,01_MINT,C01_MINT,01_MAXT,C01_MAXT,01_PREC,C01_PREC,02_MINT,C02_MINT,02_MAXT,C02_MAXT,02_PREC,C02_PREC,03_MINT,C03_MINT,03_MAXT,C03_MAXT,03_PREC,C03_PREC,04_MINT,C04_MINT,04_MAXT,C04_MAXT,04_PREC,C04_PREC,05_MINT,C05_MINT,05_MAXT,C05_MAXT,05_PREC,C05_PREC,06_MINT,C06_MINT,06_MAXT,C06_MAXT,06_PREC,C06_PREC,07_MINT,C07_MINT,07_MAXT,C07_MAXT,07_PREC,C07_PREC,08_MINT,C08_MINT,08_MAXT,C08_MAXT,08_PREC,C08_PREC,09_MINT,C09_MINT,09_MAXT,C09_MAXT,09_PREC,C09_PREC,10_MINT,C10_MINT,10_MAXT,C10_MAXT,10_PREC,C10_PREC,11_MINT,C11_MINT,11_MAXT,C11_MAXT,11_PREC,C11_PREC,12_MINT,C12_MINT,12_MAXT,C12_MAXT,12_PREC,C12_PREC,1972_MINT,CYR_MINT,1972_MAXT,CYR_MAXT,1972_PREC,CYR_PREC,
IA0112,ALBIA,41.03,-92.8,12.0,13.3,32.0,31.5,0.65,1.09,14.0,18.9,36.0,37.8,0.57,1.22,28.0,28.2,52.0,48.5,1.38,2.33,39.0,40.6,63.0,63.1,3.98,3.57,53.0,51.4,74.0,73.6,4.81,4.58,58.0,60.5,83.0,82.3,4.02,4.53,64.0,65.3,86.0,86.9,3.86,4.6,64.0,63.1,85.0,84.9,5.88,3.69,56.0,54.3,79.0,77.2,5.22,4.02,41.0,43.5,63.0,66.0,1.84,2.61,30.0,30.7,43.0,49.6,2.91,2.27,14.0,19.1,31.0,36.0,1.59,1.26,39.5,40.8,60.6,61.5,36.71,35.76,
IA0133,ALGONA,43.07,-94.3,1.0,5.8,21.0,24.0,0.47,0.67,5.0,12.2,25.0,30.4,1.05,0.82,22.0,22.9,42.0,41.4,0.0,1.8,33.0,35.8,56.0,58.7,2.44,2.85,49.0,47.8,72.0,71.7,3.7,3.87,56.0,57.5,81.0,80.9,2.25,4.73,60.0,61.5,81.0,83.9,4.89,3.93,60.0,59.2,82.0,81.7,2.13,3.47,50.0,50.0,73.0,73.7,6.35,2.84,36.0,38.9,58.0,62.2,3.21,1.97,28.0,25.0,39.0,43.3,1.53,1.52,5.0,12.2,21.0,28.7,1.92,0.85,33.8,35.8,54.2,56.8,29.94,29.31,
IA0157,ALLISON,42.75,-92.78,4.0,7.6,23.0,25.4,0.24,0.74,8.0,13.7,27.0,31.8,0.9,0.87,24.0,24.1,44.0,42.9,1.2,1.93,35.0,37.1,60.0,59.9,0.0,3.19,51.0,48.9,75.0,72.4,3.92,4.27,56.0,58.4,82.0,81.4,4.49,5.04,61.0,62.3,83.0,84.5,3.52,4.67,62.0,60.3,83.0,82.6,4.75,4.19,52.0,51.2,75.0,74.7,7.5,3.26,38.0,40.3,59.0,63.1,4.63,2.32,29.0,26.9,41.0,44.8,1.8,1.77,10.0,14.1,24.0,30.2,0.6,1.08,35.8,37.1,56.3,57.9,33.55,33.34,
IA0200,AMES-8-WSW,42.03,-93.8,6.0,9.4,26.0,27.4,0.43,0.75,7.0,15.6,27.0,33.7,1.12,0.89,25.0,25.7,46.0,45.0,0.76,2.04,36.0,38.1,61.0,61.4,2.89,3.45,50.0,49.7,73.0,72.8,4.1,4.42,57.0,59.0,82.0,81.4,5.12,5.04,62.0,63.2,82.0,84.7,4.17,3.96,61.0,60.8,82.0,82.6,5.19,4.08,53.0,51.8,76.0,75.7,4.32,3.18,38.0,40.7,60.0,64.4,4.28,2.39,28.0,27.5,40.0,46.3,2.7,1.65,10.0,15.5,26.0,32.2,1.95,0.96,36.2,38.1,56.8,59.0,37.03,32.8,
IA0213,ANAMOSA-1-WNW,42.12,-91.3,9.0,8.7,28.0,27.5,0.45,1.14,8.0,14.5,29.0,33.7,0.88,1.14,24.0,24.8,44.0,45.0,1.6,2.26,34.0,36.7,59.0,60.9,6.66,3.49,48.0,47.3,76.0,72.5,3.56,4.02,54.0,56.6,82.0,81.1,3.68,4.55,60.0,60.9,84.0,84.9,7.28,4.22,62.0,59.0,84.0,82.9,5.56,4.19,52.0,50.0,76.0,75.2,0.0,3.41,38.0,39.3,59.0,63.8,3.09,2.57,29.0,27.4,42.0,46.6,1.55,2.2,11.0,15.5,27.0,32.6,0.0,1.4,35.8,36.8,57.4,58.9,34.31,34.58,
IA0241,ANKENY-3-S,41.68,-93.6,5.0,9.6,27.0,28.1,0.29,0.71,7.0,15.5,28.0,34.5,0.59,0.93,26.0,25.6,46.0,45.3,0.71,1.97,38.0,38.3,58.0,60.7,2.75,2.99,51.0,49.9,72.0,72.3,3.32,4.15,58.0,59.4,80.0,81.1,5.37,4.88,62.0,63.7,82.0,85.3,2.9,4.0,62.0,61.2,82.0,83.2,5.52,3.91,54.0,51.9,75.0,75.5,5.67,3.02,36.0,40.5,59.0,64.2,3.6,2.25,29.0,27.8,40.0,47.0,2.18,1.65,10.0,15.7,27.0,33.2,1.68,0.93,36.5,38.3,56.4,59.2,34.58,31.4,
IA0364,ATLANTIC-1-NE,41.42,-95.0,9.0,9.3,28.0,29.5,0.34,0.78,11.0,15.2,34.0,35.8,0.21,1.0,27.0,25.0,51.0,46.9,0.9,2.15,36.0,37.3,63.0,62.3,4.27,3.15,49.0,49.1,71.0,73.2,5.99,4.24,56.0,58.6,83.0,82.1,1.5,4.87,62.0,62.8,82.0,86.0,6.3,3.82,60.0,60.1,82.0,83.8,3.16,3.84,54.0,50.6,75.0,76.1,13.18,3.74,37.0,39.0,59.0,64.9,3.13,2.36,28.0,26.2,40.0,47.3,3.13,1.49,10.0,14.8,26.0,34.0,1.55,0.96,36.6,37.4,57.9,60.2,43.66,32.42,
IA0385,AUDUBON,41.72,-94.93,8.0,9.3,28.0,29.1,0.76,0.89,10.0,15.0,33.0,35.3,0.97,1.01,27.0,24.7,50.0,46.5,0.67,2.24,36.0,37.2,63.0,62.2,5.21,3.3,50.0,48.9,73.0,73.4,5.15,4.12,58.0,58.5,84.0,82.3,1.97,4.64,62.0,63.0,84.0,86.2,4.57,4.15,62.0,60.7,83.0,84.1,3.84,4.08,54.0,51.1,77.0,76.1,10.83,3.45,38.0,39.8,60.0,64.8,3.19,2.36,28.0,26.6,42.0,47.1,4.06,1.64,10.0,14.9,27.0,33.6,1.01,1.04,36.9,37.5,58.7,60.1,42.23,32.92,
IA0576,BEDFORD-1-NNW,40.68,-94.72,11.0,12.9,33.0,32.5,0.21,0.97,16.0,18.3,40.0,39.1,0.05,1.11,29.0,28.0,55.0,49.9,0.81,2.24,38.0,39.9,64.0,64.1,2.96,3.32,50.0,51.0,73.0,74.1,5.51,4.81,57.0,60.0,85.0,82.8,1.67,5.02,63.0,64.7,85.0,87.4,5.78,4.64,61.0,62.4,84.0,85.5,3.47,4.23,55.0,53.3,78.0,77.9,4.11,3.8,39.0,41.9,62.0,66.8,2.79,2.86,30.0,29.4,44.0,50.2,4.02,2.03,13.0,18.3,32.0,36.9,1.24,1.08,38.4,40.1,61.1,62.3,32.62,36.11,
IA0600,BELLE-PLAINE,41.88,-92.27,7.0,9.5,27.0,28.0,0.69,1.11,9.0,15.3,29.0,34.2,1.2,1.17,25.0,25.5,45.0,45.2,1.89,2.51,36.0,37.8,58.0,60.7,5.32,3.7,51.0,49.3,73.0,72.3,3.9,4.15,56.0,58.7,80.0,81.0,5.47,4.58,62.0,63.0,82.0,84.8,6.74,4.3,62.0,60.7,82.0,82.9,4.8,4.41,54.0,51.6,75.0,75.2,3.89,3.54,38.0,40.3,58.0,63.9,2.62,2.56,28.0,27.9,41.0,46.8,2.4,2.0,11.0,16.0,27.0,32.9,1.94,1.35,36.7,38.0,56.5,59.1,40.86,35.38,
