stationID,stationName,Latitude,Longitude,01_MINT,C01_MINT,01_MAXT,C01_MAXT,01_PREC,C01_PREC,02_MINT,C02_MINT,02_MAXT,C02_MAXT,02_PREC,C02_PREC,03_MINT,C03_MINT,03_MAXT,C03_MAXT,03_PREC,C03_PREC,04_MINT,C04_MINT,04_MAXT,C04_MAXT,04_PREC,C04_PREC,05_MINT,C05_MINT,05_MAXT,C05_MAXT,05_PREC,C05_PREC,06_MINT,C06_MINT,06_MAXT,C06_MAXT,06_PREC,C06_PREC,07_MINT,C07_MINT,07_MAXT,C07_MAXT,07_PREC,C07_PREC,08_MINT,C08_MINT,08_MAXT,C08_MAXT,08_PREC,C08_PREC,09_MINT,C09_MINT,09_MAXT,C09_MAXT,09_PREC,C09_PREC,10_MINT,C10_MINT,10_MAXT,C10_MAXT,10_PREC,C10_PREC,11_MINT,C11_MINT,11_MAXT,C11_MAXT,11_PREC,C11_PREC,12_MINT,C12_MINT,12_MAXT,C12_MAXT,12_PREC,C12_PREC,1971_MINT,CYR_MINT,1971_MAXT,CYR_MAXT,1971_PREC,CYR_PREC,
IA0112,ALBIA,41.03,-92.8,9.0,13.3,27.0,31.5,1.63,1.09,18.0,18.9,33.0,37.8,1.63,1.22,27.0,28.2,46.0,48.5,0.85,2.33,41.0,40.6,67.0,63.1,1.29,3.57,48.0,51.4,71.0,73.6,2.23,4.58,66.0,60.5,89.0,82.3,1.37,4.53,62.0,65.3,85.0,86.9,3.87,4.6,62.0,63.1,86.0,84.9,1.5,3.69,58.0,54.3,82.0,77.2,3.5,4.02,50.0,43.5,72.0,66.0,3.41,2.61,34.0,30.7,51.0,49.6,3.4,2.27,25.0,19.1,38.0,36.0,2.51,1.26,41.8,40.8,62.5,61.5,27.19,35.76,
IA0133,ALGONA,43.07,-94.3,0.0,5.8,19.0,24.0,0.17,0.67,11.0,12.2,26.0,30.4,3.45,0.82,21.0,22.9,37.0,41.4,0.98,1.8,35.0,35.8,63.0,58.7,0.71,2.85,44.0,47.8,71.0,71.7,2.54,3.87,61.0,57.5,86.0,80.9,6.18,4.73,57.0,61.5,81.0,83.9,2.62,3.93,55.0,59.2,84.0,81.7,0.69,3.47,50.0,50.0,77.0,73.7,1.26,2.84,44.0,38.9,66.0,62.2,5.47,1.97,27.0,25.0,44.0,43.3,2.91,1.52,14.0,12.2,30.0,28.7,1.06,0.85,35.1,35.8,57.1,56.8,28.04,29.31,
IA0157,ALLISON,42.75,-92.78,0.0,7.6,21.0,25.4,0.0,0.74,12.0,13.7,28.0,31.8,3.4,0.87,22.0,24.1,39.0,42.9,0.45,1.93,36.0,37.1,64.0,59.9,0.95,3.19,44.0,48.9,71.0,72.4,3.7,4.27,63.0,58.4,88.0,81.4,3.75,5.04,58.0,62.3,82.0,84.5,2.41,4.67,57.0,60.3,85.0,82.6,0.65,4.19,53.0,51.2,79.0,74.7,2.18,3.26,46.0,40.3,68.0,63.1,2.68,2.32,30.0,26.9,45.0,44.8,4.31,1.77,17.0,14.1,32.0,30.2,1.41,1.08,36.6,37.1,58.7,57.9,25.89,33.34,
IA0200,AMES-8-WSW,42.03,-93.8,5.0,9.4,23.0,27.4,1.6,0.75,14.0,15.6,29.0,33.7,3.45,0.89,25.0,25.7,41.0,45.0,0.81,2.04,37.0,38.1,65.0,61.4,1.22,3.45,46.0,49.7,70.0,72.8,3.46,4.42,63.0,59.0,88.0,81.4,4.38,5.04,59.0,63.2,82.0,84.7,3.76,3.96,58.0,60.8,84.0,82.6,0.48,4.08,54.0,51.8,80.0,75.7,1.28,3.18,46.0,40.7,69.0,64.4,3.7,2.39,30.0,27.5,47.0,46.3,2.65,1.65,19.0,15.5,33.0,32.2,1.01,0.96,38.1,38.1,59.4,59.0,27.8,32.8,
IA0213,ANAMOSA-1-WNW,42.12,-91.3,2.0,8.7,24.0,27.5,0.91,1.14,13.0,14.5,30.0,33.7,2.91,1.14,23.0,24.8,41.0,45.0,0.69,2.26,35.0,36.7,64.0,60.9,1.36,3.49,41.0,47.3,70.0,72.5,2.61,4.02,61.0,56.6,85.0,81.1,6.5,4.55,58.0,60.9,82.0,84.9,5.83,4.22,55.0,59.0,84.0,82.9,0.98,4.19,54.0,50.0,80.0,75.2,3.53,3.41,47.0,39.3,71.0,63.8,1.91,2.57,30.0,27.4,48.0,46.6,3.88,2.2,23.0,15.5,36.0,32.6,3.38,1.4,36.9,36.8,59.7,58.9,34.49,34.58,
IA0241,ANKENY-3-S,41.68,-93.6,5.0,9.6,24.0,28.1,0.29,0.71,13.0,15.5,28.0,34.5,1.97,0.93,25.0,25.6,40.0,45.3,0.32,1.97,39.0,38.3,64.0,60.7,1.25,2.99,46.0,49.9,68.0,72.3,4.08,4.15,65.0,59.4,87.0,81.1,3.94,4.88,59.0,63.7,82.0,85.3,2.3,4.0,57.0,61.2,83.0,83.2,1.12,3.91,54.0,51.9,79.0,75.5,2.21,3.02,46.0,40.5,69.0,64.2,3.41,2.25,29.0,27.8,47.0,47.0,2.79,1.65,20.0,15.7,33.0,33.2,1.02,0.93,38.3,38.3,58.9,59.2,24.7,31.4,
IA0364,ATLANTIC-1-NE,41.42,-95.0,7.0,9.3,26.0,29.5,1.19,0.78,13.0,15.2,30.0,35.8,2.13,1.0,25.0,25.0,44.0,46.9,0.29,2.15,38.0,37.3,65.0,62.3,1.53,3.15,45.0,49.1,69.0,73.2,4.63,4.24,63.0,58.6,87.0,82.1,3.8,4.87,58.0,62.8,83.0,86.0,1.37,3.82,58.0,60.1,85.0,83.8,2.42,3.84,52.0,50.6,80.0,76.1,1.08,3.74,44.0,39.0,69.0,64.9,3.92,2.36,30.0,26.2,47.0,47.3,4.08,1.49,21.0,14.8,35.0,34.0,1.17,0.96,37.9,37.4,60.2,60.2,27.61,32.42,
IA0385,AUDUBON,41.72,-94.93,6.0,9.3,25.0,29.1,1.79,0.89,14.0,15.0,31.0,35.3,3.56,1.01,25.0,24.7,44.0,46.5,0.98,2.24,39.0,37.2,66.0,62.2,1.33,3.3,46.0,48.9,72.0,73.4,5.58,4.12,63.0,58.5,88.0,82.3,5.57,4.64,60.0,63.0,84.0,86.2,2.03,4.15,60.0,60.7,85.0,84.1,2.49,4.08,54.0,51.1,81.0,76.1,0.78,3.45,46.0,39.8,69.0,64.8,4.72,2.36,31.0,26.6,49.0,47.1,3.87,1.64,23.0,14.9,35.0,33.6,1.26,1.04,39.0,37.5,61.0,60.1,33.96,32.92,
IA0576,BEDFORD-1-NNW,40.68,-94.72,8.0,12.9,29.0,32.5,1.72,0.97,13.0,18.3,33.0,39.1,1.47,1.11,27.0,28.0,48.0,49.9,0.5,2.24,39.0,39.9,68.0,64.1,1.52,3.32,47.0,51.0,72.0,74.1,4.43,4.81,63.0,60.0,89.0,82.8,2.63,5.02,60.0,64.7,84.0,87.4,2.36,4.64,59.0,62.4,85.0,85.5,3.47,4.23,53.0,53.3,81.0,77.9,1.5,3.8,47.0,41.9,72.0,66.8,4.14,2.86,32.0,29.4,51.0,50.2,3.78,2.03,24.0,18.3,39.0,36.9,0.69,1.08,39.4,40.1,62.8,62.3,28.21,36.11,
IA0600,BELLE-PLAINE,41.88,-92.27,4.0,9.5,25.0,28.0,1.39,1.11,14.0,15.3,30.0,34.2,2.44,1.17,24.0,25.5,42.0,45.2,1.07,2.51,37.0,37.8,64.0,60.7,2.14,3.7,45.0,49.3,69.0,72.3,4.18,4.15,64.0,58.7,86.0,81.0,2.61,4.58,60.0,63.0,81.0,84.8,6.66,4.3,58.0,60.7,83.0,82.9,0.6,4.41,55.0,51.6,79.0,75.2,2.17,3.54,47.0,40.3,71.0,63.9,2.18,2.56,30.0,27.9,47.0,46.8,3.88,2.0,22.0,16.0,36.0,32.9,2.74,1.35,38.5,38.0,59.5,59.1,32.06,35.38,
