stationID,stationName,Latitude,Longitude,01_MINT,C01_MINT,01_MAXT,C01_MAXT,01_PREC,C01_PREC,02_MINT,C02_MINT,02_MAXT,C02_MAXT,02_PREC,C02_PREC,03_MINT,C03_MINT,03_MAXT,C03_MAXT,03_PREC,C03_PREC,04_MINT,C04_MINT,04_MAXT,C04_MAXT,04_PREC,C04_PREC,05_MINT,C05_MINT,05_MAXT,C05_MAXT,05_PREC,C05_PREC,06_MINT,C06_MINT,06_MAXT,C06_MAXT,06_PREC,C06_PREC,07_MINT,C07_MINT,07_MAXT,C07_MAXT,07_PREC,C07_PREC,08_MINT,C08_MINT,08_MAXT,C08_MAXT,08_PREC,C08_PREC,09_MINT,C09_MINT,09_MAXT,C09_MAXT,09_PREC,C09_PREC,10_MINT,C10_MINT,10_MAXT,C10_MAXT,10_PREC,C10_PREC,11_MINT,C11_MINT,11_MAXT,C11_MAXT,11_PREC,C11_PREC,12_MINT,C12_MINT,12_MAXT,C12_MAXT,12_PREC,C12_PREC,1967_MINT,CYR_MINT,1967_MAXT,CYR_MAXT,1967_PREC,CYR_PREC,
IA0112,ALBIA,41.03,-92.8,18.0,13.3,37.0,31.5,1.42,1.09,15.0,18.9,36.0,37.8,1.04,1.22,32.0,28.2,53.0,48.5,2.93,2.33,44.0,40.6,63.0,63.1,5.94,3.57,47.0,51.4,70.0,73.6,5.02,4.58,61.0,60.5,80.0,82.3,10.59,4.53,62.0,65.3,84.0,86.9,1.28,4.6,60.0,63.1,83.0,84.9,0.81,3.69,53.0,54.3,76.0,77.2,3.89,4.02,45.0,43.5,63.0,66.0,6.86,2.61,31.0,30.7,46.0,49.6,0.71,2.27,24.0,19.1,38.0,36.0,1.47,1.26,41.3,40.8,60.9,61.5,41.96,35.76,
IA0133,ALGONA,43.07,-94.3,10.0,5.8,29.0,24.0,0.67,0.67,6.0,12.2,29.0,30.4,0.51,0.82,25.0,22.9,49.0,41.4,0.43,1.8,37.0,35.8,61.0,58.7,2.09,2.85,41.0,47.8,69.0,71.7,3.18,3.87,57.0,57.5,80.0,80.9,7.65,4.73,58.0,61.5,83.0,83.9,1.35,3.93,55.0,59.2,82.0,81.7,2.39,3.47,48.0,50.0,74.0,73.7,1.61,2.84,37.0,38.9,60.0,62.2,1.46,1.97,24.0,25.0,43.0,43.3,0.13,1.52,15.0,12.2,33.0,28.7,0.84,0.85,34.7,35.8,57.9,56.8,22.31,29.31,
IA0157,ALLISON,42.75,-92.78,11.0,7.6,30.0,25.4,0.0,0.74,6.0,13.7,29.0,31.8,0.7,0.87,26.0,24.1,49.0,42.9,2.27,1.93,37.0,37.1,62.0,59.9,2.13,3.19,42.0,48.9,69.0,72.4,2.45,4.27,58.0,58.4,80.0,81.4,10.29,5.04,58.0,62.3,83.0,84.5,1.33,4.67,56.0,60.3,81.0,82.6,2.98,4.19,48.0,51.2,75.0,74.7,1.37,3.26,39.0,40.3,61.0,63.1,2.25,2.32,25.0,26.9,42.0,44.8,0.4,1.77,19.0,14.1,34.0,30.2,0.89,1.08,35.6,37.1,58.1,57.9,27.06,33.34,
IA0200,AMES-8-WSW,42.03,-93.8,13.0,9.4,32.0,27.4,1.16,0.75,10.0,15.6,33.0,33.7,0.08,0.89,27.0,25.7,53.0,45.0,1.58,2.04,39.0,38.1,64.0,61.4,2.78,3.45,44.0,49.7,70.0,72.8,2.48,4.42,59.0,59.0,79.0,81.4,10.19,5.04,59.0,63.2,82.0,84.7,1.92,3.96,56.0,60.8,81.0,82.6,1.44,4.08,48.0,51.8,74.0,75.7,1.52,3.18,40.0,40.7,62.0,64.4,2.51,2.39,27.0,27.5,45.0,46.3,0.43,1.65,18.0,15.5,36.0,32.2,0.46,0.96,36.9,38.1,59.4,59.0,26.55,32.8,
IA0213,ANAMOSA-1-WNW,42.12,-91.3,12.0,8.7,35.0,27.5,0.94,1.14,5.0,14.5,29.0,33.7,0.89,1.14,26.0,24.8,47.0,45.0,2.21,2.26,37.0,36.7,61.0,60.9,4.46,3.49,41.0,47.3,68.0,72.5,2.47,4.02,57.0,56.6,80.0,81.1,6.95,4.55,56.0,60.9,82.0,84.9,2.45,4.22,52.0,59.0,78.0,82.9,5.09,4.19,45.0,50.0,72.0,75.2,9.74,3.41,38.0,39.3,60.0,63.8,5.34,2.57,25.0,27.4,42.0,46.6,1.9,2.2,20.0,15.5,35.0,32.6,1.0,1.4,34.7,36.8,57.8,58.9,43.44,34.58,
IA0241,ANKENY-3-S,41.68,-93.6,14.0,9.6,35.0,28.1,0.62,0.71,11.0,15.5,36.0,34.5,0.19,0.93,29.0,25.6,55.0,45.3,1.48,1.97,42.0,38.3,64.0,60.7,2.64,2.99,46.0,49.9,71.0,72.3,2.3,4.15,60.0,59.4,79.0,81.1,10.72,4.88,59.0,63.7,84.0,85.3,0.7,4.0,57.0,61.2,82.0,83.2,0.58,3.91,48.0,51.9,73.0,75.5,1.91,3.02,39.0,40.5,62.0,64.2,1.97,2.25,26.0,27.8,45.0,47.0,0.3,1.65,18.0,15.7,36.0,33.2,0.58,0.93,37.6,38.3,60.2,59.2,23.99,31.4,
IA0364,ATLANTIC-1-NE,41.42,-95.0,11.0,9.3,34.0,29.5,0.94,0.78,13.0,15.2,35.0,35.8,0.15,1.0,27.0,25.0,54.0,46.9,1.02,2.15,39.0,37.3,64.0,62.3,2.48,3.15,44.0,49.1,70.0,73.2,1.74,4.24,58.0,58.6,79.0,82.1,11.1,4.87,57.0,62.8,83.0,86.0,1.94,3.82,54.0,60.1,83.0,83.8,0.91,3.84,46.0,50.6,74.0,76.1,4.64,3.74,38.0,39.0,62.0,64.9,2.88,2.36,24.0,26.2,46.0,47.3,0.19,1.49,16.0,14.8,36.0,34.0,0.54,0.96,35.6,37.4,60.3,60.2,28.53,32.42,
IA0385,AUDUBON,41.72,-94.93,11.0,9.3,34.0,29.1,1.44,0.89,10.0,15.0,35.0,35.3,0.54,1.01,28.0,24.7,54.0,46.5,1.25,2.24,40.0,37.2,64.0,62.2,2.87,3.3,45.0,48.9,72.0,73.4,2.39,4.12,59.0,58.5,80.0,82.3,12.88,4.64,60.0,63.0,86.0,86.2,2.19,4.15,58.0,60.7,85.0,84.1,0.91,4.08,49.0,51.1,76.0,76.1,2.97,3.45,40.0,39.8,62.0,64.8,1.9,2.36,26.0,26.6,48.0,47.1,0.56,1.64,19.0,14.9,37.0,33.6,0.64,1.04,37.2,37.5,61.1,60.1,30.54,32.92,
IA0576,BEDFORD-1-NNW,40.68,-94.72,16.0,12.9,38.0,32.5,0.72,0.97,15.0,18.3,40.0,39.1,0.65,1.11,30.0,28.0,58.0,49.9,1.72,2.24,44.0,39.9,66.0,64.1,2.43,3.32,47.0,51.0,71.0,74.1,2.2,4.81,59.0,60.0,80.0,82.8,10.57,5.02,59.0,64.7,86.0,87.4,1.22,4.64,58.0,62.4,84.0,85.5,0.71,4.23,49.0,53.3,76.0,77.9,1.55,3.8,42.0,41.9,65.0,66.8,4.63,2.86,29.0,29.4,51.0,50.2,0.45,2.03,23.0,18.3,40.0,36.9,1.49,1.08,39.4,40.1,63.0,62.3,28.34,36.11,
IA0600,BELLE-PLAINE,41.88,-92.27,14.0,9.5,34.0,28.0,1.46,1.11,9.0,15.3,31.0,34.2,0.83,1.17,28.0,25.5,50.0,45.2,2.48,2.51,40.0,37.8,61.0,60.7,3.32,3.7,44.0,49.3,69.0,72.3,1.56,4.15,59.0,58.7,80.0,81.0,5.6,4.58,59.0,63.0,82.0,84.8,2.95,4.3,56.0,60.7,79.0,82.9,5.37,4.41,49.0,51.6,74.0,75.2,2.61,3.54,40.0,40.3,61.0,63.9,3.98,2.56,27.0,27.9,45.0,46.8,1.12,2.0,20.0,16.0,36.0,32.9,1.73,1.35,37.2,38.0,58.7,59.1,33.01,35.38,
