stationID,stationName,Latitude,Longitude,01_MINT,C01_MINT,01_MAXT,C01_MAXT,01_PREC,C01_PREC,02_MINT,C02_MINT,02_MAXT,C02_MAXT,02_PREC,C02_PREC,03_MINT,C03_MINT,03_MAXT,C03_MAXT,03_PREC,C03_PREC,04_MINT,C04_MINT,04_MAXT,C04_MAXT,04_PREC,C04_PREC,05_MINT,C05_MINT,05_MAXT,C05_MAXT,05_PREC,C05_PREC,06_MINT,C06_MINT,06_MAXT,C06_MAXT,06_PREC,C06_PREC,07_MINT,C07_MINT,07_MAXT,C07_MAXT,07_PREC,C07_PREC,08_MINT,C08_MINT,08_MAXT,C08_MAXT,08_PREC,C08_PREC,09_MINT,C09_MINT,09_MAXT,C09_MAXT,09_PREC,C09_PREC,10_MINT,C10_MINT,10_MAXT,C10_MAXT,10_PREC,C10_PREC,11_MINT,C11_MINT,11_MAXT,C11_MAXT,11_PREC,C11_PREC,12_MINT,C12_MINT,12_MAXT,C12_MAXT,12_PREC,C12_PREC,1961_MINT,CYR_MINT,1961_MAXT,CYR_MAXT,1961_PREC,CYR_PREC,
IA0112,ALBIA,41.03,-92.8,13.0,13.3,35.0,31.5,0.43,1.09,23.0,18.9,42.0,37.8,1.5,1.22,32.0,28.2,48.0,48.5,5.32,2.33,36.0,40.6,57.0,63.1,1.49,3.57,48.0,51.4,71.0,73.6,1.32,4.58,59.0,60.5,85.0,82.3,1.23,4.53,64.0,65.3,86.0,86.9,7.48,4.6,64.0,63.1,86.0,84.9,1.36,3.69,54.0,54.3,76.0,77.2,10.51,4.02,46.0,43.5,68.0,66.0,2.17,2.61,32.0,30.7,49.0,49.6,8.4,2.27,15.0,19.1,32.0,36.0,1.86,1.26,40.6,40.8,61.3,61.5,43.07,35.76,
IA0133,ALGONA,43.07,-94.3,7.0,5.8,27.0,24.0,0.11,0.67,15.0,12.2,32.0,30.4,2.32,0.82,25.0,22.9,39.0,41.4,5.23,1.8,30.0,35.8,51.0,58.7,1.96,2.85,41.0,47.8,67.0,71.7,2.66,3.87,55.0,57.5,81.0,80.9,3.42,4.73,58.0,61.5,83.0,83.9,4.95,3.93,59.0,59.2,84.0,81.7,5.03,3.47,49.0,50.0,72.0,73.7,4.3,2.84,40.0,38.9,66.0,62.2,3.33,1.97,25.0,25.0,42.0,43.3,0.89,1.52,9.0,12.2,26.0,28.7,0.0,0.85,34.4,35.8,55.7,56.8,34.2,29.31,
IA0157,ALLISON,42.75,-92.78,9.0,7.6,28.0,25.4,0.5,0.74,19.0,13.7,36.0,31.8,1.28,0.87,27.0,24.1,41.0,42.9,4.95,1.93,32.0,37.1,52.0,59.9,1.26,3.19,45.0,48.9,70.0,72.4,2.06,4.27,58.0,58.4,83.0,81.4,1.34,5.04,61.0,62.3,84.0,84.5,5.17,4.67,61.0,60.3,85.0,82.6,1.46,4.19,52.0,51.2,72.0,74.7,5.43,3.26,42.0,40.3,67.0,63.1,2.84,2.32,29.0,26.9,45.0,44.8,1.51,1.77,10.0,14.1,27.0,30.2,1.32,1.08,37.2,37.1,57.6,57.9,29.12,33.34,
IA0200,AMES-8-WSW,42.03,-93.8,11.0,9.4,31.0,27.4,0.23,0.75,20.0,15.6,37.0,33.7,2.35,0.89,30.0,25.7,43.0,45.0,4.57,2.04,34.0,38.1,54.0,61.4,2.19,3.45,46.0,49.7,70.0,72.8,1.32,4.42,57.0,59.0,81.0,81.4,3.67,5.04,62.0,63.2,83.0,84.7,5.68,3.96,60.0,60.8,83.0,82.6,2.21,4.08,52.0,51.8,72.0,75.7,8.89,3.18,43.0,40.7,67.0,64.4,3.0,2.39,29.0,27.5,45.0,46.3,2.19,1.65,12.0,15.5,27.0,32.2,1.69,0.96,38.1,38.1,57.8,59.0,37.99,32.8,
IA0213,ANAMOSA-1-WNW,42.12,-91.3,8.0,8.7,30.0,27.5,0.34,1.14,20.0,14.5,40.0,33.7,1.5,1.14,27.0,24.8,44.0,45.0,4.98,2.26,31.0,36.7,53.0,60.9,1.41,3.49,43.0,47.3,69.0,72.5,1.76,4.02,55.0,56.6,81.0,81.1,4.54,4.55,59.0,60.9,81.0,84.9,8.82,4.22,58.0,59.0,83.0,82.9,2.52,4.19,50.0,50.0,73.0,75.2,9.44,3.41,40.0,39.3,64.0,63.8,3.52,2.57,30.0,27.4,46.0,46.6,6.37,2.2,12.0,15.5,29.0,32.6,1.97,1.4,36.2,36.8,57.8,58.9,47.17,34.58,
IA0241,ANKENY-3-S,41.68,-93.6,10.0,9.6,32.0,28.1,0.25,0.71,20.0,15.5,37.0,34.5,2.6,0.93,30.0,25.6,43.0,45.3,4.46,1.97,34.0,38.3,53.0,60.7,1.97,2.99,46.0,49.9,69.0,72.3,1.32,4.15,58.0,59.4,80.0,81.1,3.9,4.88,62.0,63.7,83.0,85.3,5.94,4.0,61.0,61.2,83.0,83.2,1.99,3.91,52.0,51.9,71.0,75.5,7.85,3.02,44.0,40.5,66.0,64.2,2.51,2.25,30.0,27.8,45.0,47.0,2.59,1.65,11.0,15.7,27.0,33.2,1.09,0.93,38.3,38.3,57.6,59.2,36.47,31.4,
IA0364,ATLANTIC-1-NE,41.42,-95.0,7.0,9.3,35.0,29.5,0.24,0.78,18.0,15.2,41.0,35.8,1.46,1.0,29.0,25.0,46.0,46.9,5.23,2.15,33.0,37.3,57.0,62.3,2.24,3.15,45.0,49.1,70.0,73.2,2.52,4.24,55.0,58.6,80.0,82.1,3.56,4.87,60.0,62.8,86.0,86.0,1.33,3.82,57.0,60.1,85.0,83.8,2.64,3.84,50.0,50.6,73.0,76.1,6.72,3.74,39.0,39.0,68.0,64.9,2.47,2.36,27.0,26.2,46.0,47.3,1.58,1.49,8.0,14.8,28.0,34.0,1.79,0.96,35.8,37.4,59.7,60.2,31.78,32.42,
IA0385,AUDUBON,41.72,-94.93,5.0,9.3,33.0,29.1,0.4,0.89,15.0,15.0,39.0,35.3,1.25,1.01,26.0,24.7,44.0,46.5,4.96,2.24,31.0,37.2,56.0,62.2,2.39,3.3,44.0,48.9,70.0,73.4,3.39,4.12,55.0,58.5,81.0,82.3,4.66,4.64,59.0,63.0,86.0,86.2,3.46,4.15,57.0,60.7,85.0,84.1,3.14,4.08,50.0,51.1,72.0,76.1,8.83,3.45,41.0,39.8,68.0,64.8,1.94,2.36,26.0,26.6,46.0,47.1,1.68,1.64,9.0,14.9,28.0,33.6,2.77,1.04,34.8,37.5,59.0,60.1,38.87,32.92,
IA0576,BEDFORD-1-NNW,40.68,-94.72,13.0,12.9,38.0,32.5,0.28,0.97,22.0,18.3,44.0,39.1,2.92,1.11,31.0,28.0,48.0,49.9,6.41,2.24,36.0,39.9,59.0,64.1,3.2,3.32,48.0,51.0,70.0,74.1,3.16,4.81,58.0,60.0,82.0,82.8,5.24,5.02,63.0,64.7,86.0,87.4,3.83,4.64,60.0,62.4,84.0,85.5,4.79,4.23,50.0,53.3,74.0,77.9,8.8,3.8,41.0,41.9,68.0,66.8,3.51,2.86,29.0,29.4,48.0,50.2,4.23,2.03,12.0,18.3,30.0,36.9,2.35,1.08,38.6,40.1,60.9,62.3,48.72,36.11,
IA0600,BELLE-PLAINE,41.88,-92.27,10.0,9.5,32.0,28.0,0.27,1.11,20.0,15.3,39.0,34.2,2.14,1.17,29.0,25.5,45.0,45.2,5.2,2.51,33.0,37.8,54.0,60.7,1.7,3.7,45.0,49.3,69.0,72.3,1.53,4.15,57.0,58.7,82.0,81.0,3.81,4.58,61.0,63.0,84.0,84.8,5.18,4.3,60.0,60.7,84.0,82.9,2.12,4.41,52.0,51.6,73.0,75.2,8.35,3.54,42.0,40.3,66.0,63.9,1.93,2.56,30.0,27.9,46.0,46.8,4.48,2.0,12.0,16.0,29.0,32.9,1.84,1.35,37.7,38.0,58.8,59.1,38.55,35.38,
IA0608,BELLEVUE-L-AND-D-12,42.27,-90.42,11.0,10.1,31.0,27.9,0.38,1.18,23.0,15.3,41.0,33.7,0.98,1.21,29.0,25.4,45.0,44.2,4.04,2.21,33.0,37.5,53.0,59.3,1.88,3.3,45.0,48.4,68.0,71.3,1.08,3.65,57.0,57.8,81.0,80.4,2.88,4.35,61.0,62.3,82.0,84.2,6.64,3.51,61.0,60.4,83.0,82.2,3.59,4.11,53.0,51.6,74.0,74.5,9.55,3.68,44.0,40.6,64.0,63.2,2.87,2.64,30.0,28.7,47.0,46.7,4.15,2.36,14.0,17.0,30.0,33.0,1.51,1.57,38.4,38.0,58.4,58.4,39.55,33.77,
IA0753,BLOOMFIELD,40.75,-92.43,12.0,13.4,34.0,32.2,0.55,1.2,23.0,18.9,42.0,38.4,2.14,1.24,32.0,28.2,50.0,49.2,5.2,2.39,36.0,40.6,57.0,63.5,2.9,3.55,47.0,51.1,70.0,73.8,1.99,4.42,58.0,60.3,83.0,82.6,1.34,4.54,62.0,64.6,86.0,87.1,5.17,4.39,61.0,62.2,86.0,85.2,0.88,4.36,52.0,53.6,76.0,77.4,10.14,3.95,43.0,42.8,67.0,66.5,4.44,2.88,29.0,30.5,49.0,50.4,4.0,2.08,12.0,19.3,32.0,36.9,1.61,1.39,39.1,40.5,61.1,62.0,40.36,36.39,
IA0923,BRITT,43.07,-93.8,7.0,5.3,27.0,23.8,0.3,0.92,15.0,11.7,34.0,30.1,2.3,0.9,26.0,22.7,41.0,41.0,3.91,1.76,32.0,36.0,52.0,58.1,2.12,2.85,45.0,48.0,70.0,71.5,3.38,3.73,57.0,58.0,83.0,80.8,3.31,4.56,60.0,61.7,83.0,83.5,6.16,4.12,60.0,59.3,83.0,81.4,2.98,3.53,50.0,50.1,72.0,73.8,5.34,2.87,40.0,39.1,66.0,62.2,3.86,1.88,26.0,25.4,43.0,43.4,1.47,1.54,9.0,12.0,26.0,28.8,1.86,1.04,35.6,35.8,56.6,56.6,36.99,29.68,
IA1233,CARROLL-2-SSW,42.07,-94.85,7.0,8.2,31.0,27.3,0.14,0.8,15.0,14.1,37.0,33.7,1.12,0.92,26.0,23.7,42.0,44.6,3.34,2.17,29.0,36.1,56.0,61.1,2.37,3.16,44.0,48.1,71.0,72.9,3.9,4.21,56.0,57.6,81.0,81.9,6.21,4.92,59.0,62.0,85.0,85.8,3.15,4.04,58.0,59.6,84.0,83.7,5.23,3.64,49.0,49.9,72.0,75.6,5.51,3.15,39.0,38.8,68.0,63.8,1.57,2.21,24.0,25.6,45.0,45.8,1.39,1.49,8.0,14.0,27.0,32.2,1.69,0.9,34.6,36.5,58.5,59.1,35.62,31.59,
IA1257,CASCADE,42.3,-91.02,6.0,7.7,29.0,26.5,0.34,1.18,18.0,13.6,40.0,32.7,1.13,1.16,25.0,24.4,44.0,43.8,3.93,2.16,29.0,36.4,53.0,59.2,2.58,3.21,40.0,47.8,69.0,71.4,1.6,3.76,52.0,57.1,81.0,80.5,1.75,4.6,57.0,61.2,81.0,84.3,7.46,3.48,56.0,58.9,83.0,82.3,3.56,4.2,48.0,49.6,73.0,74.1,8.1,3.53,36.0,38.3,64.0,62.7,4.52,2.44,24.0,26.7,46.0,45.6,6.4,2.19,7.0,14.6,29.0,31.9,1.24,1.49,33.2,36.4,57.8,58.0,42.61,33.4,
IA1277,CASTANA-EXP-FARM,42.07,-95.82,11.0,9.9,32.0,28.8,0.18,0.63,19.0,16.1,38.0,35.4,1.33,0.77,29.0,25.2,44.0,45.9,4.29,2.02,33.0,37.8,56.0,61.7,1.49,3.03,46.0,49.4,69.0,72.6,3.41,4.25,58.0,58.8,80.0,81.4,4.04,4.71,63.0,63.5,84.0,85.1,2.91,3.9,62.0,61.6,83.0,83.2,5.67,3.69,50.0,52.3,71.0,75.4,5.26,3.12,42.0,41.1,66.0,64.5,3.16,2.23,27.0,27.3,44.0,46.5,1.9,1.34,10.0,15.5,27.0,33.3,0.9,0.77,37.6,38.3,58.0,59.5,34.54,30.44,
IA1319,CEDAR-RAPIDS-1,42.03,-91.58,12.0,11.0,32.0,28.2,0.27,1.14,22.0,16.7,40.0,34.7,1.25,1.12,30.0,26.5,45.0,45.8,4.46,2.21,34.0,38.8,54.0,61.6,1.18,3.53,45.0,50.0,70.0,72.9,1.01,4.54,57.0,59.4,81.0,81.5,7.87,4.85,61.0,63.7,83.0,85.2,6.77,4.42,62.0,61.6,84.0,83.1,3.65,4.28,54.0,52.8,74.0,75.4,10.99,3.82,44.0,42.1,65.0,64.2,2.6,2.62,32.0,29.3,47.0,47.1,6.15,2.15,14.0,17.3,29.0,33.1,1.7,1.46,38.9,39.2,58.8,59.5,47.9,36.13,
IA1354,CENTERVILLE,40.72,-92.87,12.0,13.6,36.0,31.7,0.41,1.0,22.0,19.1,42.0,38.1,1.46,1.01,31.0,28.5,50.0,48.7,7.13,2.37,35.0,40.7,57.0,63.1,2.55,3.46,47.0,51.4,71.0,73.3,2.29,4.14,58.0,60.7,84.0,82.0,1.81,4.34,63.0,65.4,87.0,86.7,5.84,4.43,63.0,63.1,87.0,84.7,1.96,3.95,53.0,54.4,76.0,76.7,10.74,3.69,43.0,43.5,68.0,65.7,3.19,2.74,31.0,30.8,49.0,49.8,5.19,1.85,14.0,19.3,32.0,36.3,2.45,1.2,39.3,40.9,61.7,61.4,45.02,34.19,
IA1394,CHARITON,41.0,-93.32,9.0,11.1,36.0,31.4,0.47,0.94,21.0,16.8,43.0,38.0,2.46,1.18,32.0,26.5,49.0,48.6,7.08,2.29,36.0,38.5,58.0,63.1,2.14,3.56,46.0,49.0,71.0,73.3,1.76,4.42,56.0,58.4,82.0,82.0,4.15,4.79,61.0,63.1,86.0,86.8,5.04,4.36,59.0,60.8,86.0,85.0,1.65,3.88,52.0,51.8,75.0,77.2,14.32,4.33,43.0,40.5,69.0,66.4,3.06,2.71,31.0,28.4,49.0,49.7,5.43,2.01,13.0,17.2,31.0,36.2,2.92,1.12,38.3,38.6,61.3,61.5,50.48,35.59,
IA1402,CHARLES-CITY,43.05,-92.67,8.0,6.4,26.0,24.5,0.36,0.88,18.0,12.6,36.0,30.9,1.65,0.9,27.0,23.4,40.0,42.0,4.93,2.06,33.0,36.6,52.0,59.0,2.27,3.41,45.0,48.1,70.0,71.7,2.87,4.19,57.0,57.4,83.0,80.7,1.3,4.86,60.0,61.4,82.0,84.0,5.84,4.45,60.0,59.3,84.0,82.2,1.56,4.2,51.0,50.2,72.0,74.2,3.75,3.44,41.0,39.4,66.0,62.5,3.35,2.32,28.0,26.2,45.0,43.8,1.83,1.74,10.0,13.3,26.0,29.3,1.0,1.07,36.6,36.3,57.0,57.1,30.71,33.52,
IA1442,CHEROKEE,42.75,-95.53,7.0,4.9,31.0,26.1,0.1,0.57,14.0,11.1,37.0,32.5,1.15,0.72,27.0,22.3,43.0,42.9,2.88,1.68,31.0,35.1,55.0,59.6,0.84,2.62,43.0,46.8,69.0,72.0,4.1,3.88,54.0,56.8,80.0,81.0,5.83,4.61,58.0,61.4,84.0,85.1,4.57,3.82,58.0,58.9,84.0,83.1,3.98,3.62,49.0,48.5,72.0,74.8,3.7,3.05,38.0,36.6,66.0,63.4,2.2,1.84,24.0,23.8,45.0,45.1,0.76,1.34,8.0,11.3,27.0,31.1,0.82,0.75,34.3,34.8,57.8,58.1,30.93,28.5,
IA1533,CLARINDA,40.72,-95.03,8.0,11.9,39.0,31.8,0.26,0.87,19.0,17.5,43.0,38.3,2.14,1.13,29.0,27.0,48.0,49.1,5.01,2.28,36.0,39.1,59.0,63.5,2.32,3.23,48.0,50.5,71.0,74.1,3.21,4.68,58.0,59.9,82.0,83.0,5.41,4.91,63.0,64.5,85.0,87.2,6.49,4.9,60.0,62.0,84.0,85.2,3.73,4.21,50.0,52.5,74.0,77.3,12.05,3.94,41.0,41.2,69.0,66.1,3.02,2.49,28.0,28.4,48.0,49.3,2.74,1.95,9.0,17.3,30.0,36.3,1.6,1.03,37.5,39.4,61.1,61.8,47.98,35.61,
IA1541,CLARION,42.73,-93.75,7.0,5.1,28.0,23.9,0.13,0.73,15.0,11.5,34.0,30.2,1.75,0.83,28.0,22.6,41.0,41.1,3.12,1.94,32.0,35.5,53.0,58.1,2.05,2.99,43.0,47.6,70.0,71.3,2.08,4.12,57.0,57.4,81.0,80.4,2.89,4.95,59.0,61.5,82.0,83.6,5.87,4.34,59.0,58.9,83.0,81.2,2.34,3.87,50.0,49.3,72.0,73.8,4.27,3.1,40.0,38.0,67.0,62.2,3.77,2.23,26.0,24.9,44.0,43.8,1.15,1.64,10.0,11.7,26.0,29.2,1.11,1.02,35.7,35.4,56.9,56.6,30.53,31.76,
IA1635,CLINTON-1,41.8,-90.27,12.0,12.1,31.0,28.9,0.51,1.5,24.0,17.6,41.0,35.0,1.15,1.38,31.0,27.6,47.0,46.5,4.12,2.45,35.0,39.6,54.0,61.9,1.99,3.36,46.0,50.6,70.0,73.2,2.24,3.94,58.0,59.9,82.0,81.8,2.7,4.37,63.0,64.1,82.0,85.1,8.6,3.74,62.0,62.0,83.0,83.1,9.07,4.45,55.0,53.3,75.0,75.8,11.7,3.34,44.0,42.3,64.0,64.5,4.7,2.74,30.0,30.2,46.0,47.9,4.27,2.27,13.0,18.5,30.0,34.0,1.54,1.91,39.5,39.9,58.7,59.9,52.59,35.45,
IA1731,COLUMBUS-JCT-2-SSW,41.25,-91.37,12.0,12.4,34.0,30.3,0.3,1.26,22.0,18.4,41.0,36.4,1.29,1.31,31.0,27.9,49.0,47.8,4.55,2.55,35.0,40.2,56.0,63.1,2.5,3.75,46.0,50.7,71.0,74.0,1.17,4.57,57.0,59.9,85.0,82.6,2.13,4.32,62.0,64.0,86.0,86.5,4.13,4.37,62.0,61.8,86.0,84.5,3.51,4.13,55.0,53.3,77.0,77.2,9.52,3.91,46.0,42.4,68.0,66.0,2.65,3.1,33.0,30.3,49.0,49.3,4.44,2.31,16.0,18.7,33.0,35.3,2.11,1.77,39.8,40.1,61.3,61.1,38.3,37.36,
IA1833,CORNING,41.0,-94.75,11.0,10.2,35.0,30.5,0.16,0.79,21.0,15.5,41.0,36.8,1.73,0.99,30.0,25.2,46.0,47.2,5.0,2.16,35.0,37.6,57.0,61.6,2.72,3.21,48.0,49.0,69.0,72.2,2.44,4.45,58.0,58.4,81.0,81.2,2.88,4.55,63.0,63.2,85.0,86.1,2.13,4.27,61.0,60.9,84.0,84.1,3.4,4.26,51.0,51.4,72.0,76.3,10.88,4.13,42.0,40.1,67.0,65.2,2.93,2.33,29.0,27.2,47.0,48.7,2.54,1.8,12.0,15.9,29.0,35.4,1.47,1.02,38.6,37.9,59.5,60.5,38.28,33.96,
IA1954,CRESCO-1-NE,43.38,-92.1,6.0,4.0,24.0,22.0,0.11,0.93,18.0,9.9,36.0,28.2,1.55,0.84,25.0,21.1,39.0,39.3,3.63,2.13,30.0,34.6,50.0,56.0,1.41,3.28,42.0,46.2,67.0,68.9,2.41,3.96,55.0,55.9,80.0,77.9,1.46,4.67,57.0,59.9,80.0,81.8,4.15,4.45,57.0,57.8,82.0,79.7,2.28,4.68,49.0,48.4,71.0,71.2,4.62,3.78,39.0,37.4,63.0,59.5,4.32,2.35,26.0,24.4,43.0,41.9,2.14,1.99,10.0,11.1,25.0,27.4,0.74,1.15,34.5,34.3,55.1,54.6,28.82,34.19,
IA2110,DECORAH-2-N,43.32,-91.78,6.0,6.1,27.0,24.6,0.11,0.82,17.0,11.9,39.0,30.9,1.38,0.93,26.0,22.8,42.0,42.2,4.01,1.87,31.0,36.0,52.0,58.7,1.36,3.47,43.0,47.4,69.0,71.0,2.17,3.9,54.0,56.6,82.0,79.7,1.78,4.63,58.0,61.0,82.0,83.5,4.78,4.38,58.0,59.1,84.0,81.6,4.63,4.15,50.0,50.0,72.0,73.3,5.69,3.43,40.0,39.3,65.0,61.8,3.93,2.2,27.0,26.3,45.0,43.9,2.64,1.83,11.0,13.3,27.0,29.8,1.07,1.05,35.3,35.9,57.2,56.8,33.55,32.66,
IA2171,DENISON,42.03,-95.33,8.0,9.3,31.0,27.7,0.42,0.71,18.0,15.3,39.0,34.0,1.04,0.86,29.0,24.8,44.0,44.5,2.83,1.92,33.0,37.5,55.0,60.2,1.36,2.87,46.0,49.5,69.0,71.6,4.47,4.17,57.0,59.1,78.0,80.5,5.49,4.81,62.0,63.6,83.0,84.4,4.3,3.6,61.0,61.5,82.0,82.2,3.9,3.67,51.0,52.1,71.0,74.6,4.95,3.28,42.0,40.9,66.0,63.2,1.83,2.13,26.0,27.0,45.0,45.6,1.07,1.34,10.0,15.1,27.0,32.4,1.2,0.89,37.0,38.0,57.7,58.5,32.86,30.25,
IA2364,DUBUQUE-LOCK-AND-DAM,42.53,-90.65,10.0,10.7,29.0,27.3,0.21,1.11,22.0,15.9,40.0,33.0,1.13,1.03,30.0,26.5,43.0,43.6,4.32,2.03,35.0,39.7,53.0,59.0,1.62,3.3,48.0,51.4,68.0,71.3,1.13,3.73,60.0,60.9,80.0,80.2,2.45,4.24,63.0,65.4,81.0,84.0,5.64,3.85,64.0,63.6,83.0,82.0,2.22,3.97,55.0,54.9,73.0,73.9,7.95,3.57,45.0,44.1,63.0,62.5,4.33,2.41,31.0,30.9,46.0,45.9,6.2,2.05,13.0,17.9,29.0,32.3,1.01,1.38,39.7,40.2,57.3,58.0,38.21,32.69,
IA2689,EMMETSBURG,43.1,-94.68,7.0,6.2,26.0,24.6,0.14,0.77,14.0,12.5,32.0,30.9,2.05,0.9,27.0,23.1,40.0,41.6,7.64,2.07,32.0,36.2,51.0,59.0,1.81,2.93,44.0,48.2,68.0,72.0,3.55,3.81,58.0,57.9,81.0,81.0,3.44,4.67,60.0,62.2,83.0,84.2,4.89,4.04,61.0,59.7,84.0,81.9,3.66,3.97,50.0,50.2,71.0,74.1,3.67,2.78,40.0,38.8,65.0,62.5,1.84,2.06,26.0,25.2,42.0,43.5,1.11,1.49,11.0,12.6,26.0,29.4,1.61,0.92,35.9,36.1,55.9,57.1,35.41,30.4,
IA2724,ESTHERVILLE-2-N,43.42,-94.83,5.0,4.1,27.0,23.1,0.0,0.65,13.0,10.3,33.0,29.2,1.6,0.74,26.0,21.0,42.0,39.6,4.0,1.57,31.0,34.4,51.0,56.7,1.15,2.94,44.0,46.7,68.0,70.4,3.75,3.74,58.0,56.8,81.0,79.5,4.2,4.71,59.0,60.9,83.0,83.1,2.0,3.6,61.0,58.4,83.0,80.8,1.9,3.59,50.0,48.5,70.0,72.8,4.1,2.95,38.0,37.0,65.0,61.2,0.0,1.86,35.0,24.0,57.0,42.7,2.0,1.34,9.0,10.8,25.0,28.0,1.1,0.7,35.8,34.5,57.3,55.7,25.8,28.38,
