,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ADU,0.61,0.11,,,,,,,,,,,0,0.72
AIO,1.09,0.22,,,,,,,,,,,0,1.31
AWG,2.01,0.17,,,,,,,,,,,0,2.18
AXA,1.07,0.09,,,,,,,,,,,0,1.16
BNW,0.86,0.17,,,,,,,,,,,0,1.03
CAV,0.49,0.12,,,,,,,,,,,0,0.61
CBF,0.73,0.36,,,,,,,,,,,0,1.09
CCY,0.52,0.24,,,,,,,,,,,0,0.76
CIN,1,0.05,,,,,,,,,,,0,1.05
CKP,0.62,0.2,,,,,,,,,,,0,0.82
CNC,0.96,0.34,,,,,,,,,,,0,1.3
CSQ,0.57,0.1,,,,,,,,,,,0,0.67
DEH,0.55,0.26,,,,,,,,,,,0,0.81
DNS,0.81,0.19,,,,,,,,,,,0,1
EBS,0.57,0.08,,,,,,,,,,,0,0.65
EOK,1.54,0.54,,,,,,,,,,,0,2.08
FFL,1.7,0.22,,,,,,,,,,,0,1.92
FSW,1.93,0.39,,,,,,,,,,,0,2.32
FXY,0.21,0.01,,,,,,,,,,,0,0.22
GGI,0.81,0.04,,,,,,,,,,,0,0.85
HNR,1.16,0.15,,,,,,,,,,,0,1.31
I75,0.81,0.13,,,,,,,,,,,0,0.94
ICL,0.64,0.21,,,,,,,,,,,0,0.85
IFA,0.39,0.05,,,,,,,,,,,0,0.44
IIB,0.24,0,,,,,,,,,,,0,0.24
IKV,1.05,0.34,,,,,,,,,,,0,1.39
LRJ,0.1,0.12,,,,,,,,,,,0,0.22
MPZ,0.75,0.01,,,,,,,,,,,0,0.76
MUT,0.9,0.39,,,,,,,,,,,0,1.29
MXO,1.45,0.25,,,,,,,,,,,0,1.7
OLZ,0.56,0.18,,,,,,,,,,,0,0.74
OOA,1.06,0.11,,,,,,,,,,,0,1.17
ORC,0.56,0.47,,,,,,,,,,,0,1.03
OXV,1.04,0.34,,,,,,,,,,,0,1.38
PEA,0.8,0.18,,,,,,,,,,,0,0.98
PRO,0.49,0.04,,,,,,,,,,,0,0.53
RDK,0.96,0.45,,,,,,,,,,,0,1.41
SDA,0.87,0.51,,,,,,,,,,,0,1.38
SHL,0.16,0.06,,,,,,,,,,,0,0.22
SLB,0.77,0.2,,,,,,,,,,,0,0.97
TNU,0.45,0.17,,,,,,,,,,,0,0.62
TVK,M,M,,,,,,,,,,,0,0
VTI,0.16,0.01,,,,,,,,,,,0,0.17
