,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ADU,0.14,0.14,0.17,3.36,0.62,2.37,1.52,0,1.25,0.97,2.88,0.32,4.51,13.74
AIO,0.16,0.69,0.48,3.41,3.69,2.34,1.85,0.5,2.72,0,0.08,0.44,8.38,16.36
AWG,0.28,0.38,0.17,2.89,2.47,3.08,1.39,0.59,0.02,0.88,1.37,0.28,7.53,13.8
AXA,0.13,0.05,1.7,1.78,3.34,6.34,3.07,1.82,1.34,0.21,0.75,0.06,14.57,20.59
BNW,0.18,0.37,0.91,4.16,4.6,3.82,5.87,1.19,1.75,0.89,4.21,0.46,15.48,28.41
CAV,0.08,0.03,0.79,1.95,3.44,4.19,5.66,0.28,0.54,0.73,2.43,0.26,13.57,20.38
CBF,0.13,0.76,0.79,4.31,3.66,1.49,1.29,0.72,1.32,1.32,3.88,0.65,7.16,20.32
CCY,0.37,0.11,1.35,2.57,3.93,3.85,1.52,0.66,1.69,0.29,2.67,0.25,9.96,19.26
CIN,0.08,0.7,0.61,2.67,4.57,3.34,1.45,1.67,1.85,1.05,2.81,0.4,11.03,21.2
CNC,0.21,0.61,0.49,3.27,3.63,5.49,1.42,1.01,0.78,1.02,4.04,0.98,11.55,22.95
CSQ,0.12,0.51,0.48,2.94,3.21,6.16,0.58,1.46,2.97,0.95,5.66,0.58,11.41,25.62
DEH,0.22,0.03,0.7,1.2,2.32,0.76,0.14,0.03,0.17,0.1,1.95,0.17,3.25,7.79
DNS,0.04,0.93,0.27,2.68,1.44,2.54,2.55,0.26,0.66,0.8,2.14,0.49,6.79,14.8
EBS,0.13,0.13,1.11,3.27,1.97,3.71,1.73,1.18,0.81,0.84,1.94,0.32,8.59,17.14
EOK,0.25,0.75,1.14,3.27,3.44,3.51,3.87,3.39,4.78,1.82,1.85,4.59,14.21,32.66
FFL,0.08,0,0.04,0.01,0.07,1.75,2.59,1.16,2.59,1.23,2.44,2.09,5.57,14.05
FSW,0.25,0.6,1.07,2.7,3.44,3.08,5,4.71,5.31,1.43,2.51,2.18,16.23,32.28
HNR,0.14,0.5,0.32,4.3,3.83,2.49,3.87,0.04,2.11,1.34,2.5,0.31,10.23,21.75
ICL,0.02,0.38,1.02,3.87,5.58,3.71,0.12,0.06,0.03,0.01,1.13,1.12,9.47,17.05
IIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKV,0.21,0.19,0.49,2.37,0,3,3.9,0.17,2.07,1.4,5.94,0.3,7.07,20.04
LRJ,0.22,0.98,2.08,2.41,3.38,2.7,1.54,1.67,4.85,0.75,0.71,0.17,9.29,21.46
MPZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUT,0.17,0.45,0.43,3.03,4.43,4.61,1.76,1.3,4.38,0.98,2.68,2.6,12.1,26.82
MXO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLZ,0.07,0.01,0.75,2.67,4.89,3.58,7.04,0.13,2.81,1.17,4.45,0.35,15.64,27.92
ORC,0.2,0.41,2.12,1.95,3.92,4,5.35,0.48,4.63,0.62,0.43,0.24,13.75,24.35
OXV,0.04,0.55,0.33,3.64,4.62,6.72,1.65,1.14,6.64,1.14,0.15,0.04,14.13,26.66
PEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDK,0.23,0.91,1.08,3.32,4.45,3.68,0.24,0.34,1.15,0.73,1.53,0.68,8.71,18.34
SDA,0.18,0.27,0.28,2.89,4.74,3.12,2.74,0.51,1.23,0.87,4.06,0.83,11.11,21.72
SHL,0.06,0.36,1.76,1.53,3.64,3.43,4.47,0.04,2.09,0.26,0.37,0.2,11.58,18.21
SLB,0.18,0.57,1.31,2.54,2.77,5.52,10.34,0.3,1.55,0.57,0.78,0.08,18.93,26.51
TNU,0.31,0.27,0.33,3.19,5.34,4.63,1.3,0.03,2.87,0,0,0.01,11.3,18.28
VTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
