,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ADU,0.87,0.52,3.17,2.68,8.44,4.51,0.42,3.94,1.8,0.56,2.61,0.05,17.31,29.57
AIO,0.75,0.48,3.3,1.7,6.2,1.97,5.32,2.52,1.61,0.6,1.82,0.45,16.01,26.72
AWG,0.31,0.29,3.29,0.16,5.63,1.58,3.68,5.74,1.1,5.03,2.2,0.85,16.63,29.86
AXA,0.2,0.25,2.43,1.78,7.37,3.16,1.71,1.54,4.03,0.56,0.45,0.19,13.78,23.67
BNW,0.52,0.87,3.41,1.96,6.54,2.9,1.87,4.96,0,0.36,2.78,0.41,16.27,26.58
CAV,0.44,0.25,3.22,2.26,6.32,1.26,3.18,1.6,2.43,0.77,0.48,0.07,12.36,22.28
CBF,0.63,0.14,3.94,1.26,7.75,2.51,4.62,0.3,1.3,0.33,0.82,0.28,15.18,23.88
CCY,0.24,0.71,4.73,1.9,9.63,3.59,6.1,0.93,1.32,1.49,1.48,0.38,20.25,32.5
CIN,0.36,0.42,1.59,2.27,6.44,2.55,1.61,1.1,0.85,0.37,1.87,0.08,11.7,19.51
CNC,0.44,0.69,3.25,1.19,4.89,4.59,4.52,7.51,0.35,1.07,1.77,0.6,21.51,30.87
CSQ,0.28,0.21,2.38,1.08,7.08,2.99,2.55,4.22,0.97,0.54,2.2,0.41,16.84,24.91
DEH,0.03,0.24,2.5,1.09,6.84,2.51,5.32,2.21,0.6,1.25,0.96,0.33,16.88,23.88
DNS,0.84,0.45,1.66,1.66,4.5,1.66,1.82,1.38,1.67,1.07,2.26,0.21,9.36,19.18
EBS,0.22,0.72,0.8,1.62,5.65,4.85,3.8,4.91,2.31,1.14,2.01,0.34,19.21,28.37
EOK,0.28,0.5,2.3,3.11,1.89,3.33,2.58,5.76,1.39,5.84,1.93,1.23,13.56,30.14
FFL,0.52,0.32,3.21,1.15,6.16,2.57,2.8,5.57,0.78,4.01,1.95,0.79,17.1,29.83
FSW,0.26,0.45,2.08,2.67,4.17,2.56,2.39,2.26,1.78,1.62,2.81,0.44,11.38,23.49
HNR,0.83,0.43,4.3,2.15,9.84,2.78,2.21,2.55,1.32,0.41,2.34,0.42,17.38,29.58
ICL,0.57,0.54,4.53,0.95,8.83,3.1,4.85,2.69,0.03,0.04,1.1,0.46,19.47,27.69
IIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKV,0.54,0.52,2.82,3.05,7.41,2.76,5.79,5.21,1.91,1.43,2.57,0.46,21.17,34.47
LRJ,0.34,0.25,2.96,2.95,8.25,2.6,3.46,0.62,8.1,1.23,1.42,0.22,14.93,32.4
MPZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUT,0.26,0.84,2.84,1.11,7.42,0.23,0.19,4.8,0,3.71,1.16,1.25,12.64,23.81
MXO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLZ,0.04,0.74,3.38,1.6,11.24,7.28,3.62,4.51,0.5,3.35,1.58,0.57,26.65,38.41
ORC,0.01,0.15,2.17,3.14,3.78,1.13,3.32,1.04,10.84,0.95,1.49,0.06,9.27,28.08
OXV,0,0.08,1.49,2.3,8.62,2.73,5.23,8.64,1.08,0.24,0.08,0,25.22,30.49
PEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDK,0.96,0.38,3.42,1.4,8.23,2.64,3.59,2.65,1.19,0.89,0.85,0.49,17.11,26.69
SDA,0.57,0.27,2.5,0.54,7.67,2.49,5.78,2.27,1.61,0.78,0.96,0.41,18.21,25.85
SHL,0.21,0.17,2.04,1.9,5.73,0.79,6.51,2.44,7.73,0.56,0,0,15.47,28.08
SLB,0.38,0.16,3.71,2.69,4.71,3.1,3.14,2.57,4.88,0.63,2.78,0.08,13.52,28.83
TNU,0.75,0.9,2.32,2.87,6.61,2.67,4.96,4.32,0.64,2.47,2.47,0.8,18.56,31.78
VTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
