 
 THIS IS FOR STATION NUMBER 7312 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 1956    990    742    680    618    996    748    689    631
 1957   1127    879    817    755    994    746    685    624
 1958    923    675    613    552   1012    765    705    646
 1959   1008    761    700    639   1100    852    790    728
 1960   1014    766    704    642   1010    762    700    638
 1961    999    751    689    627    980    732    670    608
 1962    974    726    664    604    949    701    639    580
 1963   1066    818    756    694    962    714    653    593
 1964   1079    831    769    707    891    645    585    527
 1965   1035    787    725    663    939    692    632    573
 1966   1103    855    793    732    907    661    600    540
 1967    977    730    670    612    931    687    629    572
 1968   1014    766    704    644    973    725    663    601
 1969   1044    796    734    673   1033    785    723    661
 1970   1029    781    719    658   1001    753    691    630
 1971    968    722    662    603    979    732    672    613
 1972    988    742    682    624    956    709    649    590
 1973   1017    769    707    645   1027    779    717    655
 1974   1083    835    773    712    879    634    577    522
 1975   1053    805    743    682   1034    786    724    663
 1976   1038    790    730    672    965    722    662    603
 1977   1048    800    740    680    860    619    562    507
 1978   1030    782    720    658    984    736    675    616
 1979    971    723    661    599    901    653    593    537
 1980   1046    798    736    675    966    718    656    594
 1981    996    748    686    624    881    635    578    522
 1982   1040    792    730    668    914    668    609    551
 1983   1077    829    767    705   1096    848    786    724
 1984    984    737    676    616    997    751    691    633
 1985    961    713    651    591    838    592    534    482
 1986   1059    811    749    687    838    601    544    488
 1987   1058    810    748    687    892    644    584    528
 1988    968    720    659    600    954    711    652    595
 1989   1026    778    716    654    938    690    629    569
 1990    963    715    653    592    941    693    631    573
 1991    983    735    675    615    934    686    624    562
 1992    828    580    518    459    763    521    467    419
 1993    956    708    646    584    930    682    620    558
 1994    894    646    584    523    851    604    547    490
 1995    999    751    691    631   1068    820    758    696
 1996    929    681    620    559    903    655    593    532
 1997   1023    775    713    652    908    660    598    536
 1998   1038    790    728    666   1003    755    693    631
     ****************************  *************************** 
 MEAN 1016.2  768.3  706.7  645.7  956.1  709.3  648.8  589.6
 STDV   59.3   59.2   59.1   58.7   69.9   68.7   67.3   65.1
 
               SEPTEMBER                   OCTOBER
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    615    401    354    309    357    228    203    181
 1952    796    571    519    471     67     44     39     34
 1953    789    570    523    479    625    430    388    349
 1954    780    549    495    443    383    220    188    159
 1955    783    562    513    468    409    279    248    219
 1956    710    493    447    404    619    412    367    330
 1957    636    416    370    328    310    165    138    115
 1958    780    554    504    458    473    315    283    252
