 
 THIS IS FOR STATION NUMBER 1394 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 1956   1002    754    692    633   1026    779    719    662
 1957   1122    874    812    750   1013    765    705    646
 1958    962    714    652    591    985    743    684    626
 1959    978    732    671    610   1103    855    793    731
 1960    989    741    680    621   1043    795    733    671
 1961   1008    760    698    639    973    725    665    608
 1962   1003    760    701    642    984    737    677    620
 1963   1051    803    741    681    972    729    670    612
 1964   1074    826    764    703    899    665    610    558
 1965   1022    775    714    653    952    705    647    592
 1966   1075    827    765    703    867    628    573    521
 1967    941    701    646    593    909    675    619    566
 1968   1025    780    720    661    974    726    664    605
 1969   1091    843    781    719   1001    753    691    630
 1970   1023    776    715    655   1005    758    698    639
 1971    966    725    667    609    927    692    636    584
 1972   1018    777    717    658    991    743    682    621
 1973   1061    813    751    689   1050    802    740    679
 1974   1068    820    760    700    918    674    615    559
 1975   1029    785    725    666   1060    812    750    689
 1976   1056    810    750    690    965    718    660    603
 1977   1103    855    793    732    969    722    661    602
 1978   1060    812    750    688    994    751    692    634
 1979   1028    780    718    657   1026    778    716    655
 1980   1123    875    813    751   1098    850    788    726
 1981   1044    796    735    674    959    714    655    596
 1982   1080    832    770    708    983    735    674    614
 1983   1124    876    814    752   1145    897    835    773
 1984   1026    778    716    655   1034    786    727    668
 1985   1038    790    728    666    935    687    625    565
 1986   1114    866    804    742    906    664    605    546
 1987   1108    860    798    737    971    723    662    602
 1988   1056    808    747    686   1088    846    787    728
 1989   1028    780    718    656    971    727    669    611
 1990   1011    763    701    639    994    746    684    623
 1991   1022    774    713    653    979    732    671    611
 1992    943    695    633    572    807    570    518    467
 1993   1013    765    703    641   1025    777    715    654
 1994    958    710    648    587    921    679    622    566
 1995   1020    775    715    655   1101    853    791    729
 1996    952    706    645    586    945    697    635    575
 1997   1018    771    711    651    934    686    625    566
 1998   1053    805    743    681   1019    771    709    647
     ****************************  *************************** 
 MEAN 1037.7  790.7  729.5  668.9  987.0  741.4  681.5  623.0
 STDV   51.2   50.4   49.8   48.9   64.1   61.8   60.2   58.0
 
               SEPTEMBER                   OCTOBER
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    637    433    388    345    389    254    227    202
 1952    746    535    488    442     72     48     42     36
 1953    766    563    517    474    582    419    382    347
 1954    827    608    556    505    339    227    201    178
 1955    807    598    550    504    288    194    172    154
 1956    739    536    490    448    180    131    121    112
 1957    664    453    408    368    265    165    143    122
 1958    783    565    516    468      0      0      0      0
 1959    766    552    504    457    156     85     69     55
 1960    785    571    521    473    356    247    223    200
 1961    700    488    440    394    438    294    260    229
 1962    657    462    421    381    482    323    286    252
 1963    784    557    504    456    729    529    484    441
 1964    751    536    485    436     81     57     51     46
 1965    705    491    444    398    184    130    118    107
 1966    638    449    410    372      0      0      0      0
