,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ALO,0.63,0.13,2.92,3.87,,,,,,,,,0,7.55
AMW,0.53,0.18,2.56,3.67,,,,,,,,,0,6.94
BRL,2.64,0.28,3.4,4.33,,,,,,,,,0,10.65
CID,1.53,0.23,3.8,3.15,,,,,,,,,0,8.71
DBQ,1.28,0.27,3.25,6,,,,,,,,,0,10.8
DSM,0.67,0.07,3.76,4.31,,,,,,,,,0,8.81
DVN,2.33,0.5,3.51,5.25,,,,,,,,,0,11.59
EST,0.47,0.04,2.53,5.55,,,,,,,,,0,8.59
IOW,2.33,0.48,3.64,3.6,,,,,,,,,0,10.05
LWD,0.81,0.17,2.87,4.25,,,,,,,,,0,8.1
MCW,0.31,0.16,4.5,6.27,,,,,,,,,0,11.24
MIW,0.61,0.13,2.26,3.65,,,,,,,,,0,6.65
OTM,1.51,0.33,4,3.64,,,,,,,,,0,9.48
SPW,0.1,0.03,2.64,4.55,,,,,,,,,0,7.32
SUX,0.2,0.11,2.31,3.31,,,,,,,,,0,5.93
