,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ALO,0.56,1.11,1.52,4.26,4.65,5.17,4.75,10.33,4.07,3.76,,,24.9,40.18
AMW,0.2,0.64,3.56,6.12,7.1,2.64,4.08,6.11,2.19,5.67,,,19.93,38.31
BRL,0.8,0.32,3.86,2.79,1.89,6.26,3.49,9.1,1.36,2.1,,,20.74,31.97
CID,0.3,0.16,3,3.04,3.51,5.46,3.39,5.24,2.64,3.02,,,17.6,29.76
DBQ,0.58,1.07,2.42,4.85,1.07,2.24,8.88,6.06,4.25,3.48,,,18.25,34.9
DSM,0.65,1.69,2.61,4.47,5.62,3.02,2.56,7.08,3.52,5.49,,,18.28,36.71
DVN,0.47,0.52,5.75,3.65,1.83,4.04,8.03,8.34,1.5,2.08,,,22.24,36.21
EST,0.3,0.79,2.47,1.55,4.08,2.11,2.85,9.3,3.2,4.31,,,18.34,30.96
IOW,0.43,1.08,3.65,4.14,2.92,5.54,3.8,8.03,2.88,3.27,,,20.29,35.74
LWD,0.92,1.32,2.81,3.26,7.88,2.81,1.59,6.43,1.74,3.99,,,18.71,32.75
MCW,0.18,1.42,3.23,3.83,5.91,2.33,5.03,M,3.12,4.66,,,13.27,29.71
MIW,0.19,0.71,2.94,4.89,4.58,2.58,3.55,7.18,2.31,4.86,,,17.89,33.79
OTM,0.34,2.17,2.6,4.97,4.89,5.5,3.92,9.8,3.27,3.74,,,24.11,41.2
SPW,0.13,0.37,3.52,1.06,3.37,1.58,2.12,8.9,3.41,2.08,,,15.97,26.54
SUX,0.6,0.98,3.67,4.67,4.82,2.7,2.19,9.16,3.74,3.89,,,18.87,36.42
