 
 THIS IS FOR STATION NUMBER 6940 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.58   0.46  67(67) 21(21)  9( 9)  3( 3)  0( 0)    0      100
 1954   1153    905    843    781   1064    816    754    692
 1955   1176    928    866    804   1084    836    775    714
 1956   1044    796    734    672   1054    807    747    688
 1957   1166    918    856    794   1064    816    755    694
 1958   1017    769    707    645   1028    782    722    663
 1959   1020    773    712    652   1129    881    819    757
 1960   1022    775    714    653   1058    810    748    686
 1961   1053    805    743    681   1010    762    700    638
 1962   1049    801    739    678   1025    777    717    658
 1963   1114    866    804    742   1012    764    702    641
 1964   1116    868    806    744    923    680    621    564
 1965   1058    810    748    686    974    727    666    606
 1966   1136    888    826    764    939    694    635    577
 1967   1001    754    694    636    970    729    673    618
 1968   1083    835    774    714   1046    798    737    677
 1969   1115    867    805    743   1043    795    733    671
 1970   1057    810    750    690   1066    818    756    696
 1971   1007    765    705    645   1013    768    708    648
 1972   1056    811    750    689   1017    770    709    649
 1973   1071    823    761    699   1065    817    755    694
 1974   1119    871    809    748    943    698    641    586
 1975   1009    765    707    649   1061    813    751    690
 1976   1087    839    777    715   1020    774    714    655
 1977   1031    784    724    666   1006    758    696    634
 1978   1026    778    716    654    995    751    692    635
 1979   1022    774    712    650    971    724    664    606
 1980   1134    886    824    762   1071    823    761    699
 1981   1070    822    760    698    941    696    639    583
 1982   1051    803    742    681    902    660    603    548
 1983   1139    891    829    767   1165    917    855    793
 1984   1058    810    748    687   1066    818    757    696
 1985   1059    811    749    687    941    694    633    574
 1986   1096    848    786    724    878    638    581    527
 1987   1086    838    776    715    932    688    629    572
 1988   1072    824    762    700   1078    838    779    720
 1989   1090    842    780    718   1041    794    734    675
 1990   1042    794    732    671   1044    796    734    675
 1991   1065    817    755    693   1035    787    725    663
 1992    988    740    678    616    892    646    588    531
 1993   1075    827    765    703   1063    815    753    692
 1994   1018    770    708    648    999    751    690    632
 1995   1090    842    781    720   1141    893    831    769
 1996   1018    770    708    647   1024    776    714    652
 1997   1052    804    743    683    952    704    642    580
 1998   1091    843    781    719   1050    802    740    678
 1999   1111    863    801    739    967    719    657    595
     ****************************  *************************** 
