 
 THIS IS FOR STATION NUMBER 6327 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 1954   1114    866    804    742    999    751    689    627
 1955   1150    902    840    778   1059    811    750    690
 1956   1022    774    712    651   1024    779    719    661
 1957   1127    879    817    755    996    748    686    625
 1958    942    694    632    570    984    739    679    620
 1959    994    746    685    624   1090    842    780    718
 1960   1014    766    705    644   1053    805    743    681
 1961   1033    785    723    661   1002    754    693    634
 1962   1002    754    695    636    999    751    690    631
 1963   1065    817    755    693    960    712    652    593
 1964   1087    839    777    715    923    680    622    568
 1965   1028    780    718    656    974    726    665    605
 1966   1098    850    788    726    911    665    608    551
 1967    990    743    683    625    950    706    648    591
 1968   1061    813    751    690   1033    785    723    662
 1969   1111    863    801    739   1056    808    746    684
 1970   1070    822    760    699   1035    787    725    663
 1971   1023    777    717    658   1000    752    690    631
 1972   1054    807    747    687   1023    775    714    653
 1973   1067    819    757    695   1071    823    761    699
 1974   1112    864    802    740    940    692    630    569
 1975   1079    832    772    714   1056    808    746    684
 1976   1079    832    771    710    979    731    669    610
 1977   1118    870    808    746    955    707    645    583
 1978   1031    783    721    659    974    729    669    613
 1979   1017    769    707    646    983    735    674    614
 1980   1137    889    827    765   1111    863    801    739
 1981   1070    822    761    700    957    710    650    592
 1982   1058    810    748    686    986    738    677    617
 1983   1117    869    807    745   1116    868    806    744
 1984    967    720    659    601    994    748    689    630
 1985   1040    792    730    668    911    663    601    540
 1986   1102    854    792    730    864    620    561    504
 1987   1098    850    788    726    948    700    640    580
 1988   1082    834    772    711   1076    829    769    709
 1989   1055    807    745    683    974    726    665    606
 1990   1012    764    702    640   1009    761    699    637
 1991   1045    797    735    673    995    747    686    625
 1992    932    684    622    560    819    574    517    463
 1993   1021    773    711    649   1020    772    710    648
 1994    973    725    663    601    915    667    606    549
 1995   1050    802    741    681   1114    866    804    742
 1996    984    736    675    614    982    734    672    610
 1997   1034    786    725    665    924    676    615    554
 1998   1059    811    749    687   1029    781    719    657
 1999   1116    868    806    744    940    692    630    568
     ****************************  *************************** 
 MEAN 1053.8  805.9  744.3  683.1  993.7  746.3  685.4  625.4
 STDV   50.4   50.3   50.1   49.8   61.5   60.9   60.1   58.9
 
               SEPTEMBER                   OCTOBER
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    669    455    408    363    475    304    272    240
 1952    781    562    515    469     72     47     41     35
 1953    777    565    519    474    583    414    377    340
 1954    813    589    537    486    330    220    196    172
 1955    830    609    560    513    325    213    188    165
 1956    753    539    490    445    671    463    418    378
 1957    657    442    395    349    296    177    152    128
 1958    747    521    468    420    501    338    299    263
 1959    734    516    466    418    151     80     66     52
 1960    776    561    511    462    349    246    222    198
 1961    715    503    455    408    442    295    261    229
 1962    676    473    428    385    496    331    293    257
 1963    797    569    514    463    725    521    475    430
 1964    739    523    471    422     87     57     51     45
 1965    716    490    440    393    408    265    235    206
 1966    678    469    424    382     76     51     45     39
 1967    723    508    458    412    436    288    255    224
 1968    765    531    480    430    452    308    275    243
 1969    780    553    501    451    302    199    177    157
 1970    776    553    500    450    272    177    155    135
 1971    837    617    566    518    666    450    402    356
 1972    808    585    530    475    275    177    155    136
 1973    774    543    486    432    620    417    373    332
 1974    640    440    397    355     12      8      7      6
 1975    653    443    396    351    357    251    229    207
 1976    718    494    445    403    137     92     83     74
 1977    754    524    472    423    383    220    189    160
 1978    833    613    562    513     88     53     45     38
 1979    789    570    523    479     71     49     44     39
 1980    825    601    547    495    408    261    231    201
 1981    728    510    460    414    282    177    157    138
 1982    718    511    462    415    359    236    210    185
 1983    782    565    516    470    454    281    246    212
 1984    691    505    461    420      0      0      0      0
 1985    767    549    499    451    429    250    213    180
 1986    813    578    520    464    433    250    212    176
 1987    716    480    429    382     98     64     56     48
 1988    775    547    498    451    270    160    136    113
 1989    651    448    403    359    280    189    169    150
 1990    794    569    519    469    270    171    150    133
 1991    553    410    376    343      0      0      0      0
 1992    654    449    402    357    248    151    131    114
 1993    560    357    311    267    160    107     96     86
 1994    754    530    478    428    406    256    223    193
 1995    661    454    407    363    340    215    190    166
 1996    660    444    397    353    454    285    248    214
 1997    746    518    469    421    405    282    253    225
 1998    850    620    565    512    439    270    234    202
 1999    644    446    403    365    257    174    158    142
     ****************************  *************************** 
 MEAN  736.0  519.7  470.4  423.5  327.8  214.3  189.9  166.8
 STDV   69.1   59.6   57.0   54.4  180.3  123.4  111.1   99.5
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-1999 FOR STATION NUMBER 6327
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  52 -11  56 -15  76 -30  80  21  89  30  89  41 100  49 101  54 100  44  91  29  77  20  64   4
