 
 THIS IS FOR STATION NUMBER 5769 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.85   0.42  39(54) 22(30)  9(12)  2( 2)  0( 0)   15       72
 STDV   57.6   57.3   57.0   56.6   65.0   63.9   63.0   61.5
 
               SEPTEMBER                   OCTOBER
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    634    424    377    333    394    258    230    204
 1952    783    567    517    469     78     54     48     42
 1953    782    571    523    480    582    414    376    340
 1954    860    628    574    524    488    307    268    231
 1955    821    599    549    501    273    180    158    138
 1956    782    571    522    476    678    463    418    379
 1957    662    442    394    352    345    197    165    137
 1958    797    568    515    464    546    366    325    289
 1959    732    515    467    420    352    195    161    130
 1960    780    561    512    464    356    240    215    192
 1961    595    406    366    328      0      0      0      0
 1962    654    451    403    362    459    301    265    234
 1963    770    537    481    427    734    520    470    423
 1964    722    505    453    402    124     83     74     66
 1965    545    371    332    295      0      0      0      0
 1966    635    427    382    340    281    193    173    155
 1967    676    467    417    372    323    215    191    167
 1968    713    486    435    387     60     40     35     30
 1969    773    539    482    427    243    169    153    137
 1970    723    499    451    404    194    134    120    107
 1971    823    601    550    501    603    396    351    308
 1972    762    535    483    435    291    191    169    148
 1973    739    507    452    399    571    367    324    286
 1974    599    402    360    320     68     41     35     29
 1975    620    408    363    319    450    307    276    248
 1976    780    550    496    446    136     89     79     69
 1977    810    570    512    457    428    251    212    176
 1978    893    656    601    547    356    223    193    165
 1979    806    577    526    478    206    140    125    110
 1980    811    584    533    482    399    265    237    211
 1981    790    565    512    460    343    201    173    148
 1982    754    535    484    434    347    228    203    179
 1983    800    579    529    481    457    270    233    202
 1984    732    527    481    435      0      0      0      0
 1985    789    570    518    469    482    282    241    204
 1986    851    617    560    504    189    109     94     79
 1987    724    502    454    406     41     31     29     27
 1988    793    567    516    467     64     42     38     34
 1989    613    420    376    332    268    174    157    140
 1990    795    580    531    483    161    104     94     84
 1991    563    421    386    353      0      0      0      0
 1992    640    444    401    358    263    171    153    136
 1993    561    357    314    276    172    119    108     97
 1994    709    491    445    402    435    284    248    215
 1995    519    366    329    295      0      0      0      0
 1996    646    433    389    347    432    279    243    209
 1997    750    525    477    433    422    292    263    235
