 
 THIS IS FOR STATION NUMBER  600 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 1955   1137    889    827    765   1057    809    748    687
 1956    988    740    678    616    990    744    686    629
 1957   1097    849    787    725    984    736    675    616
 1958    932    684    622    560    966    722    662    604
 1959    983    736    675    614   1081    833    771    709
 1960    976    728    667    608   1014    766    704    643
 1961    988    740    678    616    985    737    675    614
 1962    948    700    641    582    963    715    654    594
 1963   1018    770    708    646    923    675    614    554
 1964   1059    811    749    687    898    656    599    544
 1965    989    741    679    618    921    674    614    554
 1966   1068    820    758    696    902    656    596    538
 1967    931    686    630    575    847    605    548    494
 1968    997    749    687    628    952    704    643    583
 1969   1032    784    722    660    993    745    683    621
 1970   1011    763    702    643    966    718    656    597
 1971    933    689    630    572    931    685    626    569
 1972    970    725    666    608    969    721    660    600
 1973   1029    781    719    657   1021    773    711    649
 1974   1080    832    770    708    893    645    585    527
 1975   1032    784    724    665   1026    778    716    654
 1976   1045    797    737    678    948    703    645    589
 1977   1103    855    793    731    903    656    596    537
 1978   1030    782    720    658    995    748    688    629
 1979   1005    757    695    635    986    738    676    615
 1980   1103    855    793    731   1058    810    748    686
 1981   1030    782    721    660    957    709    651    593
 1982   1063    815    753    691    963    717    658    600
 1983   1121    873    811    749   1124    876    814    752
 1984    982    735    674    613   1000    754    695    636
 1985   1026    778    716    654    902    655    594    535
 1986   1084    836    774    712    857    616    558    502
 1987   1089    841    779    717    946    698    638    579
 1988   1052    804    742    681   1044    801    741    683
 1989   1043    795    733    671    952    707    647    588
 1990    992    744    682    620    992    744    682    621
 1991   1031    783    721    660    983    735    674    613
 1992    895    647    585    525    809    565    508    455
 1993    995    747    685    623    979    731    669    607
 1994    945    697    635    573    861    614    556    502
 1995   1018    770    709    649   1104    856    794    732
 1996    923    675    614    553    915    667    605    543
 1997    979    733    673    614    881    633    571    511
 1998   1025    777    715    653   1009    761    699    637
 1999   1081    833    771    709    919    671    609    547
     ****************************  *************************** 
 MEAN 1020.5  772.8  711.4  650.5  962.9  716.1  655.7  596.3
 STDV   55.1   54.8   54.3   53.6   64.4   63.7   62.8   61.2
 
               SEPTEMBER                   OCTOBER
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    622    413    367    323    435    272    239    209
 1952    733    528    482    438     34     22     19     16
 1953    705    509    466    426    531    382    348    315
 1954    788    560    507    456    444    281    246    211
 1955    780    565    515    467    311    201    179    157
 1956    687    484    440    398    159    109     99     90
 1957    654    445    400    357    270    168    146    125
 1958    720    500    451    406      0      0      0      0
 1959    730    515    466    421    141     74     60     46
 1960    745    529    480    432    326    225    201    178
 1961    674    468    420    375    406    265    232    204
 1962    632    434    390    348    466    305    270    236
 1963    744    517    466    418    692    483    435    391
 1964    691    478    429    382     83     54     47     41
 1965    641    424    377    334    366    234    205    177
 1966    664    452    408    369    274    186    166    148
 1967    624    428    384    344      0      0      0      0
 1968    685    466    419    374     64     44     39     34
 1969    718    493    442    395    256    172    154    138
 1970    716    496    446    398    249    160    141    122
 1971    794    573    524    475    609    410    364    320
 1972    733    517    463    415      0      0      0      0
 1973    703    475    423    374    569    374    332    293
 1974    591    392    347    305      6      2      1      0
 1975    610    408    362    317      8      3      2      1
 1976    692    488    446    405    114     78     71     65
 1977    760    528    474    421    158     88     73     59
 1978    839    613    558    505    311    179    151    123
 1979    744    527    480    435    151     90     77     65
 1980    770    549    497    447    167    110     97     84
 1981    720    498    449    402    274    160    137    117
 1982    715    500    450    403    339    214    187    162
 1983    753    537    486    436    415    232    197    166
 1984    665    466    420    375      0      0      0      0
 1985    746    531    483    436    413    239    200    168
 1986    799    569    514    459    416    242    209    178
 1987    711    486    439    395     39     29     27     25
 1988    753    538    488    440     59     37     32     27
 1989    513    349    314    280      0      0      0      0
 1990    773    552    503    457    266    167    147    129
 1991    543    398    365    332      0      0      0      0
 1992    631    432    386    343    252    159    141    126
 1993    524    321    277    238    155    109     98     87
 1994    710    487    439    392    426    272    236    205
 1995    607    413    368    328    316    205    181    160
 1996    619    410    367    326    288    184    160    139
 1997    694    476    427    379    379    259    230    202
 1998    786    560    505    454    409    241    205    171
 1999    637    449    408    370    244    169    153    137
     ****************************  *************************** 
 MEAN  695.9  484.8  437.3  392.2  251.0  161.2  141.7  123.6
 STDV   72.3   60.9   57.7   54.3  182.6  120.5  107.1   94.7
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-1999 FOR STATION NUMBER  600
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  49 -14  53 -28  72 -23  76  19  89  29  93  38  98  50 101  51  99  41  92  26  75  16  61   4
  2  46 -18  62 -27  70  -7  85  16  90  28  87  40  96  46 100  51  96  44  93  25  76   9  66  -2
