 
 THIS IS FOR STATION NUMBER 9067 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 1954   1087    839    777    715    975    727    665    604
 1955   1129    881    819    757   1028    780    719    660
 1956    976    728    666    604    968    723    665    608
 1957   1104    856    794    732   1003    755    695    636
 1958    963    715    653    591    975    732    673    615
 1959   1005    757    696    635   1099    851    789    727
 1960    993    745    683    623   1024    776    714    653
 1961   1014    766    704    642    992    744    682    623
 1962    970    722    661    603    990    742    680    620
 1963   1029    782    721    660    944    696    635    575
 1964   1076    828    766    704    914    671    615    561
 1965    985    737    675    614    922    675    615    556
 1966   1074    826    764    702    883    637    579    523
 1967    937    693    638    583    872    629    573    518
 1968   1030    782    720    659   1004    756    695    635
 1969   1063    815    753    691   1006    758    696    635
 1970   1034    786    724    663    994    746    684    623
 1971    970    724    664    606    952    705    646    588
 1972   1014    768    708    648   1005    757    696    636
 1973   1062    814    752    690   1046    798    736    674
 1974   1107    859    797    735    922    674    613    555
 1975   1047    799    739    681   1043    795    733    671
 1976   1061    813    751    690    951    705    645    587
 1977   1113    865    803    741    932    684    623    563
 1978   1039    791    729    667   1000    753    693    634
 1979   1025    777    716    655   1002    754    693    632
 1980   1112    864    802    740   1081    833    771    709
 1981   1033    786    725    664    972    724    663    604
 1982   1069    821    759    697    964    716    657    598
 1983   1125    877    815    753   1136    888    826    764
 1984    988    740    679    618   1013    766    707    648
 1985   1037    789    727    665    913    665    603    544
 1986   1110    862    800    738    870    629    570    511
 1987   1094    846    785    724    942    695    635    577
 1988   1078    830    768    706   1078    833    774    715
 1989   1046    798    736    674    956    709    649    589
 1990    996    748    686    624    971    723    661    599
 1991   1017    769    707    645    985    737    675    614
 1992    909    661    600    539    802    561    507    458
 1993    997    749    687    625    991    743    681    620
 1994    942    694    632    570    870    625    568    515
 1995   1022    774    713    652   1100    852    790    728
 1996    957    710    649    589    948    700    638    579
 1997   1003    757    698    639    910    662    601    542
 1998   1056    808    746    684   1029    781    719    657
 1999   1101    853    791    730    914    666    604    542
     ****************************  *************************** 
 MEAN 1034.3  786.6  725.1  664.2  974.1  727.2  666.8  607.8
