 1900 | 73.48
 1901 | 77.50
 1902 | 72.52
 1903 | 71.16
 1904 | 71.19
 1905 | 73.29
 1906 | 72.75
 1907 | 72.06
 1908 | 73.09
 1909 | 72.91
 1910 | 72.36
 1911 | 75.20
 1912 | 72.04
 1913 | 75.07
 1914 | 76.21
 1915 | 70.61
 1916 | 73.05
 1917 | 71.45
 1918 | 72.03
 1919 | 76.11
 1920 | 72.34
 1921 | 77.50
 1922 | 73.81
 1923 | 73.65
 1924 | 70.64
 1925 | 73.93
 1926 | 71.29
 1927 | 70.18
 1928 | 70.69
 1929 | 71.72
 1930 | 74.33
 1931 | 76.18
 1932 | 74.53
 1933 | 76.73
 1934 | 79.47
 1935 | 73.48
 1936 | 77.04
 1937 | 73.11
 1938 | 73.08
 1939 | 74.46
 1940 | 74.19
 1941 | 74.51
 1942 | 74.46
 1943 | 75.99
 1944 | 75.16
 1945 | 71.03
 1946 | 73.69
 1947 | 71.33
 1948 | 73.76
 1949 | 76.21
 1950 | 70.91
 1951 | 72.08
 1952 | 77.47
 1953 | 76.74
 1954 | 77.05
 1955 | 73.83
 1956 | 73.73
 1957 | 74.47
 1958 | 71.07
 1959 | 73.66
 1960 | 71.55
 1961 | 71.99
 1962 | 72.55
 1963 | 73.63
 1964 | 74.18
 1965 | 72.41
 1966 | 74.42
 1967 | 71.97
 1968 | 73.12
 1969 | 73.07
 1970 | 72.93
 1971 | 73.80
 1972 | 71.55
 1973 | 73.95
 1974 | 72.13
 1975 | 73.71
 1976 | 73.05
 1977 | 74.64
 1978 | 73.66
 1979 | 72.40
 1980 | 75.29
 1981 | 74.29
 1982 | 71.84
 1983 | 75.37
 1984 | 73.87
 1985 | 71.73
 1986 | 75.43
 1987 | 75.53
 1988 | 75.42
 1989 | 73.28
 1990 | 72.64
 1991 | 75.30
 1992 | 70.44
 1993 | 73.51
 1994 | 74.01
 1995 | 74.04
 1996 | 72.34
 1997 | 72.75
 1998 | 73.00
 1999 | 75.38
 2000 | 71.79
 2001 | 72.58
 2002 | 75.48
