 
 THIS IS FOR STATION NUMBER 4389 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
     ****************************  ******************* ******** 
 1951   1039    791    729    667   1003    755    693    632
 1952   1089    841    779    717    993    745    684    624
 1953   1082    834    772    711   1008    760    698    638
 1954   1116    868    806    744   1040    792    730    668
 1955   1164    916    854    792   1075    827    765    704
 1956   1047    799    737    675   1051    805    745    686
 1957   1139    891    829    767   1046    798    736    675
 1958    997    749    687    625   1038    792    731    671
 1959   1029    781    720    659   1120    872    810    748
 1960   1034    786    724    662   1080    832    770    708
 1961   1052    804    742    680   1045    797    736    675
 1962   1046    798    736    676   1032    784    722    660
 1963   1094    846    784    722   1005    757    695    635
 1964   1111    863    801    739    976    729    670    613
 1965   1048    800    738    676   1002    754    693    632
 1966   1122    874    812    750    957    709    649    589
 1967    989    742    682    626    928    685    628    573
 1968   1064    816    755    694   1048    801    740    680
 1969   1129    881    819    757   1038    790    728    666
 1970   1060    812    750    689   1037    789    727    665
 1971   1001    755    695    635   1002    754    693    633
 1972   1045    799    739    679   1010    762    701    641
 1973   1079    831    769    707   1062    814    752    690
 1974   1087    839    778    717    944    696    635    576
 1975   1055    807    745    685   1048    800    738    676
 1976   1087    839    777    716    954    708    649    591
 1977   1111    863    801    739    994    746    685    626
 1978   1055    807    745    683    995    748    688    630
 1979   1021    773    712    651   1030    782    721    661
 1980   1145    897    835    773   1092    844    782    720
 1981   1046    798    737    676   1002    754    694    635
 1982   1064    816    754    692    981    733    672    614
 1983   1097    849    787    725   1100    852    790    728
 1984   1010    762    701    640   1006    761    702    645
 1985    993    745    683    623    884    639    582    529
 1986   1098    850    788    726    858    620    564    511
 1987   1038    791    730    669    953    705    644    587
 1988   1100    852    790    729   1115    869    809    749
 1989   1108    860    798    736   1048    801    741    681
 1990   1077    829    767    705   1062    814    752    690
 1991   1097    849    787    725   1054    806    744    683
 1992   1039    791    729    667    881    634    576    521
 1993   1083    835    773    711   1077    829    767    705
 1994   1047    799    737    675   1007    759    698    638
 1995   1084    836    775    715   1162    914    852    790
 1996   1036    788    726    665   1043    795    733    671
 1997   1073    825    764    703   1006    758    696    635
 1998   1114    866    804    742   1104    856    794    732
 1999   1160    912    850    788   1034    786    724    662
 2000   1077    829    767    705   1113    865    803    741
     ****************************  ******************* ******** 
 MEAN 1071.8  823.9  762.2  700.8 1023.2  775.8  714.9  654.9
 STDV   42.3   42.1   41.8   41.3   61.6   60.8   59.7   57.9
 
               SEPTEMBER                   OCTOBER
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    715    496    446    397    529    339    299    264
 1952    779    560    511    465     84     59     53     47
 1953    811    597    550    505    583    419    382    346
 1954    853    627    574    524    527    351    312    276
 1955    835    611    562    515    504    334    300    266
 1956    772    560    512    467    689    488    444    405
 1957    726    508    458    415    317    206    184    162
 1958    782    560    510    461    536    372    334    299
 1959    798    573    524    475    425    250    212    178
 1960    835    609    557    507    386    276    252    228
 1961    760    541    488    442    554    361    317    276
 1962    715    506    458    413    522    351    312    273
 1963    816    584    530    479    809    585    532    481
 1964    795    578    526    475    140     91     81     71
 1965    791    562    506    453    424    272    241    211
 1966    703    485    436    391    389    263    235    207
 1967    704    497    451    407    223    152    136    120
 1968    769    537    484    436    464    315    281    250
 1969    794    570    518    469    431    277    241    209
 1970    803    575    521    469    292    195    172    152
 1971    847    623    571    522    667    456    410    365
 1972    841    616    561    508    290    192    170    150
 1973    801    568    511    459    649    443    397    353
 1974    632    431    386    342      8      4      3      2
 1975    671    462    414    369    315    225    205    185
 1976    735    519    468    420    134     88     80     73
 1977    800    572    520    468    145     85     71     60
 1978    865    638    584    532    439    272    236    204
 1979    798    585    536    492     66     44     39     34
 1980    800    584    535    486    191    132    120    108
 1981    765    543    493    447    324    210    185    164
 1982    749    530    480    433    391    264    238    212
 1983    583    426    390    355      0      0      0      0
 1984    686    492    447    404      0      0      0      0
 1985    785    568    517    468    484    296    257    222
 1986    822    593    541    491    212    134    118    104
 1987    782    550    499    453     42     33     31     29
 1988    859    633    580    530     76     48     42     36
 1989    725    515    468    424    532    354    318    283
 1990    867    637    584    535    335    223    198    175
 1991    814    602    553    506    316    210    187    164
 1992    739    528    481    435    284    183    163    144
 1993    647    427    378    332    451    285    246    208
 1994    788    560    507    458    486    329    291    256
 1995    699    483    434    388    479    304    267    233
 1996    718    496    449    403    528    342    299    260
 1997    830    599    546    494    458    326    295    265
 1998    931    696    639    583    523    329    287    248
 1999    763    557    510    466    326    225    203    183
 2000    841    622    572    523    125     81     73     66
     ****************************  ******************* ******** 
 MEAN  775.0  556.0  505.8  458.1  362.3  241.7  215.2  190.4
 STDV   66.7   58.4   56.1   53.7  197.5  135.6  122.0  109.1
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2000 FOR STATION NUMBER 4389
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  54 -12  64 -20  77 -14  80  22  90  30  94  40 103  49 104  51 100  40  91  25  81  19  67   5
  2  61 -15  62 -22  74   1  87  22  89  30  91  40  97  48 103  47 101  45  95  25  78  15  69   0
  3  61 -16  69 -29  81   6  83  13  88  32  94  41  99  48 105  44 100  41  93  28  78  10  69  -1
  4  60 -13  61 -20  74  -7  81  15  91  31  93  41  99  49 103  47  98  37  90  31  76   6  73   0
  5  55 -28  62 -19  72 -14  82  25  90  32  94  41  98  44  98  48  98  38  90  28  71  14  67   5
  6  56 -18  56 -23  73 -15  84  12  87  30  94  41  99  47  97  50 100  38  95  22  74  15  67  -4
  7  60 -15  61 -12  80  -1  81  17  88  30  95  45  98  48 104  47  98  38  87  22  76   3  60  -9
  8  62 -14  65 -10  77  -3  81  19  91  29  96  43 100  54 105  47  97  35  85  24  80  -6  67  -2
  9  52 -11  59 -25  75  -2  86  18  90  28  94  42  99  50  96  49  98  44  84  24  78  12  62 -10
 10  56 -23  66 -18  77   5  86  19  88  30  96  42 101  49 101  50  96  38  89  24  74  15  62  -7
 11  55 -20  67 -13  80   8  85  19  92  33  97  42 100  53  98  45  99  41  88  22  79   4  65 -15
 12  61 -24  73 -12  81  -1  86  22  95  34  97  47 104  54 101  49  96  35  89  25  74  10  68 -12
 13  60  -8  68 -10  77   6  77  22  91  33  98  39 102  51  98  45  97  36  89  25  78  -1  65  -7
 14  67 -28  70   2  77   5  85  20  92  33  98  46 104  45 102  50  93  37  86  23  75   8  62  -9
 15  62 -28  70  -6  75  10  85  24  92  34  99  48 104  49 106  47  97  37  89  27  73   8  57 -15
 16  63 -18  61 -14  76   4  89  23  88  33  96  44 102  50 106  48  94  32  87  22  77   9  59 -13
 17  62 -25  64 -17  78  11  89  24  92  36  96  43 103  49 108  51  95  39  88  26  74   1  56  -4
