 
 THIS IS FOR STATION NUMBER 5837 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
     ****************************  ******************* ******** 
 1951   1029    781    719    658    984    736    674    612
 1952   1098    850    788    726    989    741    681    621
 1953   1099    851    789    727   1041    793    732    671
 1954   1115    867    805    743   1018    770    708    646
 1955   1185    937    875    813   1095    847    785    723
 1956   1047    799    737    675   1048    801    740    680
 1957   1134    886    824    762   1048    800    738    677
 1958    992    744    682    620   1026    780    719    658
 1959   1035    787    725    663   1127    879    817    755
 1960   1032    784    722    660   1074    826    764    702
 1961   1040    792    730    668   1053    805    743    681
 1962   1001    753    691    631   1028    780    718    657
 1963   1073    825    763    701    989    741    679    618
 1964   1093    845    783    721    952    705    645    586
 1965   1037    789    727    665    982    734    674    614
 1966   1109    861    799    737    970    722    661    601
 1967    979    731    670    613    901    653    594    536
 1968   1051    803    741    679   1041    793    731    670
 1969   1081    833    771    709   1045    797    735    673
 1970   1061    813    751    690   1020    772    710    648
 1971    980    733    672    611    988    740    678    617
 1972   1038    791    730    669   1017    769    708    648
 1973   1065    817    755    693   1060    812    750    688
 1974   1117    869    807    745    934    686    624    562
 1975   1065    817    755    696   1063    815    753    691
 1976   1065    817    755    693    966    718    657    597
 1977   1115    867    805    743    957    709    648    587
 1978   1056    808    746    684   1029    782    721    661
 1979   1041    793    731    670   1024    776    715    654
 1980   1116    868    806    744   1100    852    790    728
 1981   1019    771    711    651    989    741    681    621
 1982   1082    834    772    710    977    729    667    606
 1983   1117    869    807    745   1118    870    808    746
 1984    992    744    683    622   1019    773    714    656
 1985   1129    881    819    757    963    715    653    591
 1986   1149    901    839    777    901    661    601    543
 1987   1150    902    840    778   1006    758    696    634
 1988   1119    871    809    747   1051    811    752    693
 1989   1105    857    795    733   1032    784    723    663
 1990   1055    807    745    683   1035    787    725    663
 1991   1081    833    771    709   1046    798    736    674
 1992    987    739    677    615    867    620    562    507
 1993   1077    829    767    705   1056    808    746    684
 1994   1034    786    724    662    968    720    658    598
 1995   1080    832    770    709   1166    918    856    794
 1996   1013    765    703    642   1023    775    713    651
 1997   1079    831    769    708    973    725    663    603
 1998   1092    844    782    720   1080    832    770    708
 1999   1155    907    845    783    983    735    673    611
 2000   1041    793    731    669   1085    837    775    713
     ****************************  ******************* ******** 
 MEAN 1070.3  822.4  760.5  698.9 1018.4  770.9  709.5  648.7
 STDV   49.1   49.0   48.8   48.4   58.5   58.1   57.7   56.8
 
               SEPTEMBER                   OCTOBER
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    683    463    414    367    494    307    269    236
 1952    770    548    500    453     76     50     44     38
 1953    775    556    507    462    572    395    357    322
 1954    836    605    549    496    481    312    277    242
 1955    806    583    532    482    485    309    272    239
 1956    752    533    483    435    661    448    402    359
 1957    708    488    437    390    375    231    200    171
 1958    761    530    479    432    528    348    308    269
 1959    802    576    524    473    363    195    160    129
 1960    852    615    558    505    375    252    227    203
 1961    791    562    509    459    521    329    288    249
 1962    715    497    447    400    509    334    295    257
 1963    801    569    515    463    813    580    526    474
 1964    786    562    510    458    293    186    164    145
 1965    725    496    443    394    405    262    231    202
 1966    728    506    454    405    482    312    275    240
 1967    707    493    443    397    432    279    247    217
 1968    776    541    487    436    446    297    265    234
 1969    778    546    494    445    390    251    221    193
 1970    784    549    496    445    502    307    265    226
 1971    864    631    577    528    679    468    419    372
 1972    816    591    537    483    294    185    162    140
 1973    768    533    477    425    621    412    363    319
 1974    658    445    398    355     10      6      5      4
 1975    648    439    390    345    344    234    211    189
 1976    728    503    451    406    280    189    169    150
 1977    794    554    498    443    410    231    195    164
 1978    901    666    610    557    425    247    209    176
 1979    791    569    519    473    165    101     89     77
 1980    790    564    512    462    356    228    200    174
 1981    735    509    458    409    342    208    181    156
 1982    749    528    477    428    358    233    207    182
 1983    779    560    508    457    460    273    235    201
 1984    692    497    450    404      0      0      0      0
 1985    775    556    504    455    462    276    237    201
 1986    826    595    538    483    212    131    112     95
 1987    770    535    484    435     38     29     27     25
 1988    764    562    515    471     66     44     39     34
 1989    682    469    425    383     52     33     30     27
 1990    832    605    553    502    348    224    197    172
 1991    796    585    536    488    233    144    125    107
 1992    712    497    449    402    272    170    151    133
 1993    633    415    365    319    438    276    238    203
 1994    784    552    498    447    544    349    306    264
 1995    710    489    439    390    378    247    218    191
 1996    722    493    442    394    331    215    188    163
 1997    810    573    519    466    437    307    276    246
 1998    914    678    620    563    497    299    256    217
 1999    722    516    470    426    365    233    204    179
 2000    808    587    533    483    118     74     66     59
     ****************************  ******************* ******** 
 MEAN  766.4  542.5  490.9  441.8  375.0  241.2  212.4  185.6
 STDV   59.5   54.1   52.3   50.1  177.5  120.1  107.4   95.6
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2000 FOR STATION NUMBER 5837
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  48 -12  57 -20  75 -17  78  23  91  30  93  40 104  51 104  53 100  44  88  29  80  18  62   4
  2  59 -17  60 -24  71  -2  85  22  87  32  89  43  96  50 102  53  99  46  92  26  77  14  65   1
  3  60 -16  63 -34  75   3  80  13  88  31  96  42  97  51 102  54  97  41  96  27  78  12  67   0
  4  61 -13  54 -25  71  -6  79  13  92  32  94  45  98  47 100  47  97  41  88  28  75   7  72  -3
  5  52 -25  57 -18  70 -11  81  20  90  34  96  41  98  45  96  51  95  41  90  26  69  12  65   3
  6  54 -17  51 -17  71 -13  86  10  85  31  96  46  98  49  96  50  98  36  92  24  72  16  64  -6
  7  51 -15  58 -11  80  -1  81  14  87  32  94  47  97  49  97  51  98  38  86  24  74   6  55 -12
  8  54 -15  63 -12  77  -4  82  17  88  28  95  49  99  53 102  48  95  34  85  27  80   2  65  -4
  9  48 -12  56 -19  70   1  78  20  90  29  93  42  98  54  95  48  98  42  82  28  77  12  57 -12
 10  56 -28  62 -13  75  -2  82  21  90  31  95  43 101  50 100  52  93  40  87  29  68  17  60  -9
 11  53 -16  66 -12  75   6  81  20  90  35  96  41  98  51  97  48  98  40  87  23  74   9  60 -15
 12  57 -21  67 -11  80  -2  84  21  94  35  96  49 101  50  96  51  97  36  85  21  70   6  63  -9
 13  57  -9  60 -13  74   5  77  20  89  36  99  39 101  51  94  46  95  39  88  27  77   9  62 -11
 14  55 -15  65   0  75   0  79  25  91  34 101  50 100  50 101  49  93  42  85  26  74   7  60 -12
 15  59 -19  64  -6  75   7  83  24  90  34  97  47 103  50 104  47  94  37  88  26  73   6  55 -16
 16  57 -22  62 -13  73   5  88  23  90  33  96  46  95  57 103  47  90  35  85  28  72   6  58 -13
 17  57 -16  65 -14  74  12  85  23  90  37  97  46  98  54 105  50  94  40  85  25  71  -1  53  -7
 18  57 -20  64  -7  69   8  88  23  92  40  97  49  99  53 103  48  93  39  87  21  73  10  58 -15
 19  59 -24  61 -12  74   8  86  21  90  39  99  49  98  56 101  51  89  34  85  17  69  15  60 -20
 20  51 -23  62  -2  71   9  90  26  90  35 100  45 101  52 100  48  88  29  85  20  65  12  57 -13
 21  64 -21  62  -9  76   4  88  28  90  38 100  46 101  51  99  47  89  33  84  21  67   4  58 -21
 22  58 -14  64  -7  79  15  91  26  89  34  97  49 104  53  96  52  93  31  84  22  63   8  57 -18
 23  55 -20  60 -10  77   8  85  28  90  38  95  47  99  56  97  48  86  31  85  24  66   7  56 -23
 24  61 -11  66  -9  75   2  87  22  88  39  96  48  99  55  95  45  89  31  82  21  63   8  59 -19
 25  63  -9  69 -11  76   5  91  30  92  39 104  48  99  57  95  44  89  36  81  20  61   4  55 -18
 26  52 -12  63 -10  85   6  88  32  94  35  94  51  98  49  96  50  90  31  85  20  68  -5  55 -15
 27  54 -14  69  -5  80  16  86  32  90  35  96  49 100  54  98  49  90  33  77  23  69   7  57 -10
 28  52 -21  62  -8  80   8  88  32  94  39  97  51 104  53  98  39  94  32  77  17  63   0  67 -11
 29  55 -20 *** ***  89  10  93  27  92  37  98  53 101  48  97  39  97  26  79  17  68  -4  66  -4
 30  58 -13 *** ***  81  11  88  30  95  40  98  50 101  46 100  45  92  27  79  17  67   0  59  -9
 31  69 -26 *** ***  83  14 *** ***  91  40 *** *** 105  50 100  47 *** ***  81  21 *** ***  60 -13
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-2000 FOR STATION NUMBER 5837
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  1.23  0.42  0.86  1.18  1.14  1.90  1.03  2.30  2.06  1.05  1.80  1.55
  2  0.50  0.86  1.62  1.80  1.41  0.90  1.44  0.88  0.66  0.75  0.98  1.73
  3  1.44  0.14  0.60  1.48  0.67  0.73  1.82  0.94  0.87  0.79  0.32  1.11
  4  0.60  0.71  3.32  0.73  1.62  0.50  1.14  2.62  0.88  1.88  1.00  1.07
  5  1.39  0.30  1.82  1.77  1.66  1.84  2.32  3.15  1.34  2.20  0.63  0.73
  6  0.47  0.34  0.66  0.93  1.30  0.55  2.83  2.87  0.74  1.97  0.57  0.65
  7  0.50  0.44  0.86  0.22  1.04  9.51  1.66  1.81  2.20  1.18  0.92  1.18
  8  0.23  0.27  1.62  0.78  2.34  2.09  1.46  2.63  1.18  0.41  0.48  0.95
  9  0.49  0.77  0.56  1.70  1.40  1.72  1.69  2.19  0.95  0.85  0.71  0.87
 10  0.35  1.13  1.94  0.93  3.45  1.39  5.75  2.50  2.91  5.05  1.17  0.76
 11  0.18  0.33  1.40  1.62  1.50  1.18  1.95  1.40  1.01  1.14  1.58  1.07
 12  2.36  0.65  0.72  1.68  1.92  1.75  0.37  2.11  1.09  0.77  1.12  0.53
 13  1.06  0.46  1.68  1.02  2.04  1.09  0.96  1.14  5.36  1.66  2.36  0.31
 14  0.49  0.67  0.55  1.89  1.35  1.96  1.98  0.81  2.70  2.03  0.63  0.90
 15  0.58  0.79  2.51  1.67  1.39  2.18  2.61  1.35  1.25  1.69  0.75  2.47
 16  0.95  0.57  0.50  1.70  0.86  1.16  0.87  3.35  1.09  0.87  1.86  1.16
 17  0.46  1.07  0.76  1.07  1.12  4.12  1.32  2.64  1.33  1.28  1.86  0.43
 18  0.46  0.71  1.04  0.91  1.62  1.19  4.43  1.32  1.55  2.36  1.14  1.33
 19  0.80  0.66  1.00  2.06  2.16  1.37  2.10  0.59  2.25  3.13  0.62  0.53
 20  0.94  1.64  0.88  1.75  1.18  1.93  2.20  1.35  1.69  0.73  0.97  1.50
 21  0.72  1.79  0.66  2.14  1.46  1.97  1.41  2.04  3.70  0.65  1.28  0.50
 22  1.07  0.82  0.79  1.51  0.87  1.26  2.29  2.54  1.37  1.23  1.80  1.31
 23  0.85  0.67  1.39  1.82  1.63  0.92  2.25  2.13  1.80  1.06  0.61  0.45
 24  0.72  0.78  1.26  4.63  1.01  1.49  1.80  2.85  1.98  1.11  0.33  1.52
 25  0.65  0.63  1.15  0.53  1.56  3.61  1.09  1.15  1.27  0.74  0.81  0.74
