 
 THIS IS FOR STATION NUMBER  576 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
     ****************************  ******************* ******** 
 1951   1015    767    705    645    982    734    673    612
 1952   1059    811    749    687    979    731    669    609
 1953   1063    815    753    691   1034    786    724    662
 1954   1164    916    854    792   1058    810    748    686
 1955   1179    931    869    807   1096    848    786    724
 1956   1049    801    739    677   1054    806    745    686
 1957   1155    907    845    783   1053    805    743    682
 1958   1008    760    698    636   1029    782    721    661
 1959    995    747    686    626   1091    843    781    719
 1960   1000    752    691    630   1033    785    723    661
 1961   1025    777    715    653    981    733    671    609
 1962   1030    782    721    660   1009    761    699    639
 1963   1069    821    759    697    994    747    686    626
 1964   1087    839    777    716    923    683    628    574
 1965   1041    793    731    669    962    714    652    593
 1966   1110    862    800    738    888    644    585    529
 1967    963    717    659    602    947    712    656    602
 1968   1051    804    744    685   1020    772    710    650
 1969   1111    863    801    739   1050    802    740    678
 1970   1041    793    732    672   1052    804    742    683
 1971    974    734    674    616    968    723    663    604
 1972   1017    773    713    655    978    731    670    609
 1973   1034    786    724    662   1033    785    724    664
 1974   1087    839    778    717    937    693    634    580
 1975   1057    811    751    693   1071    823    762    701
 1976   1055    807    745    686   1010    763    703    644
 1977   1114    866    804    743   1010    762    700    638
 1978   1073    825    763    701   1001    753    692    631
 1979   1021    773    711    650   1003    755    693    631
 1980   1152    904    842    780   1102    854    792    730
 1981   1072    824    762    700    978    730    668    609
 1982   1081    833    771    709    977    729    668    608
 1983   1127    879    817    755   1152    904    842    780
 1984   1025    777    715    653   1062    814    752    691
 1985   1060    812    750    688    908    660    598    536
 1986   1142    894    832    770    922    678    617    558
 1987   1120    872    810    748   1005    757    696    635
 1988   1103    855    793    732   1106    859    799    740
 1989   1086    838    776    714   1022    775    715    656
 1990   1051    803    741    679   1010    762    700    638
 1991   1075    827    765    703   1026    778    716    655
 1992    988    740    678    616    876    628    568    511
 1993   1071    823    761    699   1056    808    746    685
 1994   1006    758    696    634    999    751    690    630
 1995   1075    827    765    704   1151    903    841    779
 1996   1024    776    714    653   1016    768    706    644
 1997   1074    826    764    703    959    711    649    587
 1998   1077    829    767    705   1059    811    749    687
 1999   1098    850    788    726    982    734    672    610
 2000   1041    793    731    669   1073    825    763    701
     ****************************  ******************* ******** 
 MEAN 1064.2  816.5  754.9  693.6 1014.0  766.8  705.6  645.3
 STDV   49.4   49.0   48.6   48.1   60.5   59.6   58.9   57.9
 
               SEPTEMBER                   OCTOBER
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    626    416    367    324    162    109     98     87
 1952    823    600    550    501     85     60     54     48
 1953    821    604    555    509    624    449    410    373
 1954    888    653    597    545    521    334    295    258
 1955    852    623    570    519    441    306    275    246
 1956    804    588    539    493    707    494    447    405
 1957    710    489    441    397    375    219    187    160
 1958    828    596    543    491    572    389    347    308
 1959    719    510    464    420    101     52     42     34
 1960    775    561    511    463    360    246    222    199
 1961    656    448    402    360    344    231    208    186
 1962    694    489    443    399    506    341    305    270
 1963    801    574    522    473    713    512    469    429
 1964    778    565    514    465     89     62     57     52
 1965    573    401    364    329      0      0      0      0
 1966    663    455    408    366    300    210    189    169
 1967    690    478    428    383    333    221    194    170
 1968    752    535    485    436    473    323    289    257
 1969    801    569    515    463    270    188    169    152
 1970    771    555    504    454    187    137    126    115
 1971    799    586    537    490    609    415    372    331
 1972    793    570    518    466    133     95     87     79
 1973    745    514    460    408    562    377    339    302
 1974    652    459    418    379      0      0      0      0
 1975    627    421    377    335    337    242    220    200
 1976    768    551    500    453    117     81     74     67
 1977    815    580    527    475    183    105     89     74
 1978    864    634    581    530    353    231    203    177
 1979    775    550    501    455    206    141    127    114
 1980    807    584    532    481    212    143    129    117
 1981    790    564    509    456    333    193    164    138
 1982    759    537    486    436    368    240    213    188
 1983    848    626    573    522    454    273    237    202
 1984    731    529    479    431      0      0      0      0
 1985    737    526    478    431      0      0      0      0
 1986    886    651    594    538    203    117    100     85
 1987    769    540    490    441     34     24     22     20
 1988    808    578    525    475     56     34     30     26
 1989    653    450    404    358    301    199    177    157
 1990    866    645    592    541    323    203    179    157
 1991    588    445    411    379      0      0      0      0
 1992    725    514    466    418    269    172    153    135
 1993    603    387    340    297    194    133    120    107
 1994    790    568    517    467    446    283    247    211
 1995    738    522    473    425    457    294    258    222
 1996    684    465    416    369    502    319    281    244
 1997    777    547    497    449    449    296    264    235
 1998    898    658    599    542    479    306    270    234
 1999    671    464    419    378     38     25     22     19
 2000    757    543    496    450    118     75     66     57
     ****************************  ******************* ******** 
 MEAN  755.2  538.6  488.9  441.6  298.2  198.2  176.7  156.6
 STDV   80.5   69.1   65.8   62.2  200.4  136.9  123.2  110.5
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2000 FOR STATION NUMBER  576
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  56 -15  60 -17  77 -16  88  21  91  29  93  41 101  49 104  51  99  41  92  27  79  20  65   0
  2  58 -13  67 -31  76  -4  85   9  91  28  92  43 101  49 104  49  98  46  93  24  79   9  66   3
  3  57 -11  60 -34  78   3  80   5  90  28  93  38  98  46 100  50  98  34  89  26  79   6  66   0
  4  54 -17  58 -28  72 -15  77  16  90  30  91  40 102  47 106  44  98  38  94  28  75  -2  63   2
  5  65 -17  58 -16  72 -16  84  21  88  33 100  43 101  40  96  49  95  38  93  28  70   7  66  -5
  6  57 -24  62 -19  71  -8  88  13  87  30  98  45 103  48  98  48 100  41  92  25  77  10  60  -4
  7  50 -25  62 -12  73  -9  84  18  90  33  96  45  98  52 102  46  96  40  90  21  75  -4  60  -5
  8  60 -15  60 -29  77  -7  81  23  90  29  96  43  97  55  97  47  96  40  83  23  75  -8  57 -13
  9  55 -21  64 -20  78  -5  85  16  90  31  96  45  99  52  99  46 100  45  85  21  79  15  59  -8
 10  51 -23  59  -8  75  -4  85  16  90  32  97  41 100  50  97  49  95  38  91  21  74  14  65 -11
 11  57 -19  70 -20  83  -4  86  22  88  34  98  50 102  54  97  47  92  37  87  21  76   0  65  -3
 12  55 -32  70 -20  76 -24  83  15  97  34  96  44 105  45 102  43  97  38  89  25  76  -1  65 -11
 13  61 -12  63  -4  73 -24  78  19  91  31  95  45 107  47 100  38 100  36  87  19  70  -4  61 -11
 14  63 -15  70  -4  73   0  85  21  88  32  97  48 104  46 101  50  95  35  89  26  81   4  58 -13
 15  56 -16  68  -7  73  10  83  20  86  31  97  43 104  46 103  46  95  34  88  27  74  14  59 -16
 16  60 -18  66 -17  75  13  89  25  89  37  94  42 102  50 103  48  95  37  86  26  74   6  59 -15
 17  59 -22  66 -16  73   9  89  23  90  33  92  44 105  49 102  50  98  35  84  18  73   1  58 -11
 18  65 -13  65 -22  72   7  88  22  90  36 100  48 106  55 101  50  92  33  87  25  73   9  63 -16
 19  56 -13  64  -2  75   6  93  25  88  38 102  42 107  53 100  41  90  27  85  11  72  10  56 -20
 20  60 -20  65   0  73  11  83  24  90  39 101  42 102  51  99  44  91  29  83  19  67   8  55 -18
 21  59 -15  67  -8  74   6  86  21  90  34 100  44 105  48 100  49  94  33  83  22  73   3  59 -19
 22  65  -6  68  -5  83  12  90  25  92  34 101  40 103  50  98  47  92  29  82  18  70   9  61 -26
 23  58 -17  64 -15  81  10  89  24  88  36  99  42 101  52  97  42  85  31  82  19  69  10  69 -26
